largest_clique_size,runs,avg_complete_ilp_cost,avg_new_ilp_with4_cost,avg_complete_lp_ilp_ratio,avg_complete_pivot_ilp_ratio,avg_new_lp_ilp_ratio_with4,avg_new_pivot_ilp_ratio_with4,avg_bad4_cycles,avg_imbalance_ratio
4,10,3.9,3.4,0.9857142857142858,1.02,1.0,1.2,0.3,1.3333333333333333
5,50,8.74,7.52,0.9949107142857143,1.1762018801459977,0.9980909090909091,1.3922755360394679,2.5,1.6
7,10,16.5,13.5,1.0,1.2901043401043402,1.0,1.4602068764568765,7.9,1.1666666666666667
8,10,11.1,9.8,1.0,1.1954248366013072,1.0,1.5603088578088578,7.1,1.1428571428571428
9,10,28.7,24.5,1.0,1.4277423046020916,1.0,1.641813877693188,32.2,1.125
10,130,213.83076923076922,181.27692307692308,0.9468650440555162,1.4614016794724076,0.9466997243173195,1.7393869082546205,872.1076923076923,1.0769230769230769
12,10,27.9,23.8,1.0,1.4768020517415679,1.0,1.8007270273586062,35.5,2.0
13,10,27.8,23.9,1.0,1.2458640074803868,1.0,1.8776360676360677,61.2,1.0833333333333333
15,120,42.0,34.9,1.0,1.463220620390745,1.0,1.9751391734317971,108.675,2.0
20,60,42.75,35.81666666666667,1.0,1.4898114546685362,1.0,2.004013034394991,127.16666666666667,4.0
25,51,496.7843137254902,421.7647058823529,1.0,1.8276676636585376,1.0,2.0971640895828934,7462.686274509804,1.0
60,50,495.92,420.7,1.0,1.9475842590968404,1.0,2.398410705926868,16209.86,12.0
