n,p_delete,ratio,runs,mean,std,ci95_low,ci95_high
10,0.0,pivot_average_to_lp,150,1.73146164021164,0.6495375244930469,1.6266647361557338,1.8362585442675463
10,0.05,pivot_average_to_lp,150,1.825082453102453,0.7430828839125525,1.7051928658892301,1.9449720403156758
10,0.15,pivot_average_to_lp,149,2.004657140398751,0.8714182557437085,1.8635830101747282,2.1457312706227745
10,0.25,pivot_average_to_lp,148,2.189446053196053,1.061891382026796,2.016946706958435,2.3619453994336714
10,0.4,pivot_average_to_lp,133,2.255145070468379,1.026436198941096,2.0790877337084956,2.431202407228262
15,0.0,pivot_average_to_lp,150,1.8709161166832273,0.22152987594472184,1.8351743091979473,1.9066579241685073
15,0.05,pivot_average_to_lp,150,1.9597970682592198,0.29334907824862044,1.9124678931940795,2.00712624332436
15,0.15,pivot_average_to_lp,150,2.1001266125309828,0.428083951951374,2.0310592051082397,2.169194019953726
15,0.25,pivot_average_to_lp,150,2.2582112448318914,0.6432769718801596,2.154424423345151,2.3619980663186317
15,0.4,pivot_average_to_lp,150,2.5748281894425604,1.3593920952166723,2.3555027808174516,2.7941535980676693
20,0.0,pivot_average_to_lp,150,1.9722203407252892,0.17833037896170612,1.9434483746577562,2.0009923067928224
20,0.05,pivot_average_to_lp,150,2.0641630097819643,0.26070166653642596,2.022101194251667,2.1062248253122617
20,0.15,pivot_average_to_lp,150,2.253034639897327,0.43675141459723676,2.1825688171143387,2.3235004626803155
20,0.25,pivot_average_to_lp,150,2.3879186785603936,0.6515265708983726,2.2828008601655285,2.4930364969552588
20,0.4,pivot_average_to_lp,150,2.5267869474168667,0.833109998150646,2.392372313539707,2.6612015812940264
25,0.0,pivot_average_to_lp,200,2.0683684074781836,0.13957723974640596,2.0489059826599223,2.087830832296445
25,0.05,pivot_average_to_lp,200,2.177119624550376,0.21127878208209716,2.1476592525052087,2.2065799965955435
25,0.15,pivot_average_to_lp,200,2.3899518920571343,0.3542455438473811,2.3405564657192857,2.439347318394983
25,0.25,pivot_average_to_lp,200,2.5240869941372943,0.4460204990277315,2.4618946163147903,2.5862793719597983
25,0.4,pivot_average_to_lp,200,2.658817619917158,0.5551243145865584,2.581411982314212,2.736223257520104
30,0.0,pivot_average_to_lp,200,2.159551316176599,0.11492679604354626,2.143526109404599,2.175576522948599
30,0.05,pivot_average_to_lp,200,2.3040429934540043,0.1805315034976364,2.2788699722613357,2.329216014646673
30,0.15,pivot_average_to_lp,200,2.5789260840155106,0.30665149694449056,2.5361670946879316,2.6216850733430896
30,0.25,pivot_average_to_lp,200,2.7802820618205057,0.42172993630040734,2.721476720822435,2.8390874028185764
30,0.4,pivot_average_to_lp,200,2.9961665001662947,0.573182397482256,2.9162428726578455,3.076090127674744
100,0.0,pivot_average_to_lp,60,2.2238590963704783,0.08012226007163059,2.2031613218445028,2.244556870896454
100,0.05,pivot_average_to_lp,60,2.289679144276002,0.1611043895862725,2.248061467392942,2.3312968211590617
100,0.15,pivot_average_to_lp,60,2.3944412723085433,0.3058960206015288,2.3154199509286513,2.4734625936884354
100,0.25,pivot_average_to_lp,60,2.4699178860672406,0.42804201536304837,2.3593429083555786,2.5804928637789026
100,0.4,pivot_average_to_lp,60,2.548218019220511,0.5898808187211295,2.3958356454310974,2.7006003930099243
