n,p_delete,averagepivot_approximation,bestpivot_approximation,pivot_runtime_seconds_average,lp_runtime_seconds_average
10,0,1.731462,1.019669,9.2348e-05,0.000455221
10,0.05,1.825082,1.04613,9.1352e-05,0.002037366
10,0.15,2.004657,1.044061,9.3383e-05,0.000691255
10,0.25,2.189446,1.175767,9.3953e-05,0.000510613
10,0.4,2.255145,1.21986,0.000101904,0.000335693
15,0,1.870916,1.018555,8.7734e-05,0.00169762
15,0.05,1.959797,1.03695,0.00011233,0.001333316
15,0.15,2.100127,1.138247,0.000107494,0.001000007
15,0.25,2.258211,1.260124,0.000112181,0.001000087
15,0.4,2.574828,1.598784,0.000117178,0.001333316
20,0,1.97222,1.057258,0.000107456,0.01715072
20,0.05,2.064163,1.100236,0.000106852,0.004333258
20,0.15,2.253035,1.266763,0.000112446,0.004333417
20,0.25,2.387919,1.476129,0.000121027,0.004666726
20,0.4,2.526787,1.711763,0.000131932,0.004999956
25,0,2.068368,1.087486,9.7041e-05,0.050635159
25,0.05,2.17712,1.173421,0.000117245,0.032999992
25,0.15,2.389952,1.403357,0.000123701,0.034000039
25,0.25,2.524087,1.582692,0.000133873,0.038499951
25,0.4,2.658818,1.889798,0.000144234,0.038250089
30,0,2.159551,1.147643,9.9814e-05,0.111213505
30,0.05,2.304043,1.245289,0.000115081,0.064499974
30,0.15,2.578926,1.552082,0.000127725,0.078500032
30,0.25,2.780282,1.793243,0.000127133,0.075749934
30,0.4,2.996167,2.191642,0.000142804,0.094999969
100,0,2.223859,1.723894,0.000192751,1.675835053
100,0.05,2.289679,1.829448,0.000212113,1.460666736
100,0.15,2.394441,1.948693,0.000227231,1.709999958
100,0.25,2.469918,2.086917,0.000257868,2.168333371
100,0.4,2.548218,2.237504,0.000291252,2.940666596
