file_path,graph_type,n,seed,p_delete,p_positive,cluster_sizes,ego_id,complete_pivot_average_cost,complete_bad_triangles_total,complete_bad_triangles_max_disjoint,complete_sparse_ilp_cost,complete_sparse_lp_cost,complete_bad_triangle_lp_primal_cost,complete_sparse_lp_to_ilp_ratio,edge_num_edges_deleted,edge_pivot_average_cost,edge_bad_triangles_total,edge_bad_triangles_max_disjoint,edge_sparse_ilp_without4_cost,edge_sparse_ilp_with4_cost,edge_bad_4_cycles_count,edge_sparse_lp_without4_cost,edge_sparse_lp_with4_cost,edge_bad_triangle_lp_primal_cost,edge_sparse_lp_to_ilp_ratio_with4,runtime_seconds,edge_all_pairs_ilp_cost,edge_all_pairs_lp_cost,edge_all_pairs_lp_to_ilp_ratio,edge_all_pairs_ilp_runtime_seconds,edge_all_pairs_lp_runtime_seconds,edge_all_pairs_ilp_optimal
results/experiments_results_clique/n10/clq_n10_2x5.json,clique,10,1,0.05,,"[5, 5]",,10.0,29,7,7.0,7.0,7.0,1.0,2,8.0,21,6,6.0,6.0,0,6.0,6.0,6.0,1.0,0.07390713691711426,6.0,6.0,1.0,0.003000020980834961,0.0,True
results/experiments_results_clique/n10/clq_n10_2x5.json,clique,10,1,0.15,,"[5, 5]",,10.0,29,7,7.0,7.0,7.0,1.0,6,8.9,16,5,5.0,5.0,0,5.0,5.0,5.0,1.0,0.038680076599121094,5.0,5.0,1.0,0.002000093460083008,0.0009999275207519531,True
results/experiments_results_clique/n10/clq_n10_2x5.json,clique,10,1,0.25,,"[5, 5]",,10.0,29,7,7.0,7.0,7.0,1.0,8,7.6,13,5,5.0,5.0,2,5.0,5.0,5.0,1.0,0.03811478614807129,5.0,5.0,1.0,0.002000093460083008,0.0,True
results/experiments_results_clique/n10/clq_n10_2x5.json,clique,10,1,0.40,,"[5, 5]",,10.0,29,7,7.0,7.0,7.0,1.0,15,5.0,5,3,3.0,3.0,1,3.0,3.0,3.0,1.0,0.02980494499206543,3.0,3.0,1.0,0.002000093460083008,0.0,True
results/experiments_results_clique/n10/clq_n10_2x5.json,clique,10,2,0.05,,"[5, 5]",,1.2,3,1,1.0,1.0,1.0,1.0,0,1.2,3,1,1.0,1.0,0,1.0,1.0,1.0,1.0,0.0426640510559082,1.0,1.0,1.0,0.003000020980834961,0.0009999275207519531,True
results/experiments_results_clique/n10/clq_n10_2x5.json,clique,10,2,0.15,,"[5, 5]",,1.2,3,1,1.0,1.0,1.0,1.0,4,3.3,3,1,1.0,1.0,0,1.0,1.0,1.0,1.0,0.03836989402770996,1.0,1.0,1.0,0.002000093460083008,0.0,True
results/experiments_results_clique/n10/clq_n10_2x5.json,clique,10,2,0.25,,"[5, 5]",,1.2,3,1,1.0,1.0,1.0,1.0,8,4.6,3,1,1.0,1.0,0,1.0,1.0,1.0,1.0,0.03336906433105469,1.0,1.0,1.0,0.002000093460083008,0.0010001659393310547,True
results/experiments_results_clique/n10/clq_n10_2x5.json,clique,10,2,0.40,,"[5, 5]",,1.2,3,1,1.0,1.0,1.0,1.0,14,2.4,3,1,1.0,1.0,0,1.0,1.0,1.0,1.0,0.028232812881469727,1.0,1.0,1.0,0.002000093460083008,0.0009999275207519531,True
results/experiments_results_clique/n10/clq_n10_2x5.json,clique,10,3,0.05,,"[5, 5]",,4.6,13,3,3.0,3.0,3.0,1.0,2,4.6,13,3,3.0,3.0,0,3.0,3.0,3.0,1.0,0.04161691665649414,3.0,3.0,1.0,0.003000020980834961,0.0,True
results/experiments_results_clique/n10/clq_n10_2x5.json,clique,10,3,0.15,,"[5, 5]",,4.6,13,3,3.0,3.0,3.0,1.0,6,4.0,9,3,3.0,3.0,0,3.0,3.0,3.0,1.0,0.03631281852722168,3.0,3.0,1.0,0.003000020980834961,0.0,True
