ego_id,n,complete_pivot_best_cost,complete_pivot_average_cost,complete_ilp_cost,complete_lp_cost,p_delete,edge_pivot_best_cost,edge_pivot_average_cost,edge_all_pairs_ilp_cost,edge_all_pairs_lp_cost,complete_min_max_cc_computed,complete_min_max_cc_cluster_count,complete_min_max_cc_max_disagreement,complete_min_max_cc_d_hat,complete_min_max_cc_lambda,complete_min_max_cc_runtime_seconds,complete_min_max_lp_computed,complete_min_max_lp_cost,complete_min_max_lp_rounding_cost,complete_min_max_lp_max_disagreement_vertex,complete_min_max_lp_cluster_count,complete_min_max_lp_r,complete_min_max_lp_r2,complete_min_max_lp_method,complete_min_max_lp_norm,complete_min_max_lp_runtime_seconds,complete_min_max_lp_rounding_runtime_seconds,complete_min_max_lp_total_runtime_seconds,edge_min_max_cc_computed,edge_min_max_cc_cluster_count,edge_min_max_cc_max_disagreement,edge_min_max_cc_d_hat,edge_min_max_cc_lambda,edge_min_max_cc_runtime_seconds,edge_min_max_lp_computed,edge_min_max_lp_cost,edge_min_max_lp_rounding_cost,edge_min_max_lp_max_disagreement_vertex,edge_min_max_lp_cluster_count,edge_min_max_lp_r,edge_min_max_lp_r2,edge_min_max_lp_method,edge_min_max_lp_norm,edge_min_max_lp_runtime_seconds,edge_min_max_lp_rounding_runtime_seconds,edge_min_max_lp_total_runtime_seconds
3980,58,88,117.22,75.0,68.5,0.05,85,112.29,74.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3980,58,88,117.22,75.0,68.5,0.15,81,101.93,67.0,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3980,58,88,117.22,75.0,68.5,0.25,74,89.89,58.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3980,58,88,117.22,75.0,68.5,0.4,54,61.59,37.0,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,155,1012,1196.57,797.0,739.0000000000091,0.05,987,1171.06,758.0,705.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,155,1012,1196.57,797.0,739.0000000000091,0.15,897,1088.71,670.0,628.4999999999973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,155,1012,1196.57,797.0,739.0000000000091,0.25,872,992.05,591.0,550.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,155,1012,1196.57,797.0,739.0000000000091,0.4,756,819.23,465.0,438.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,170,1329,1633.3,,826.5,0.05,1270,1546.73,,786.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,170,1329,1633.3,,826.5,0.15,1175,1380.55,,711.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,170,1329,1633.3,,826.5,0.25,1052,1197.34,,633.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,170,1329,1633.3,,826.5,0.4,872,972.96,,524.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,64,107,147.64,97.0,94.0,0.05,107,144.64,94.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,64,107,147.64,97.0,94.0,0.15,113,139.22,82.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,64,107,147.64,97.0,94.0,0.25,102,129.92,72.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,64,107,147.64,97.0,94.0,0.4,82,102.25,53.0,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
