ego_id,n,p_delete,graph_variant,pivot_best_cost_average,lp_cost_average
414,155,0,complete,1012,739.0000000000091
414,155,0.05,edge_deleted,987.0,705.5
414,155,0.15,edge_deleted,897.0,628.5
414,155,0.25,edge_deleted,872.0,550.5
414,155,0.4,edge_deleted,756.0,438.5
686,170,0,complete,1329,826.5
686,170,0.05,edge_deleted,1270.0,786.5
686,170,0.15,edge_deleted,1175.0,711.0
686,170,0.25,edge_deleted,1052.0,633.5
686,170,0.4,edge_deleted,872.0,524.5
698,64,0,complete,107,94.0
698,64,0.05,edge_deleted,107.0,91.0
698,64,0.15,edge_deleted,113.0,79.0
698,64,0.25,edge_deleted,102.0,70.0
698,64,0.4,edge_deleted,82.0,52.5
3980,58,0,complete,88,68.5
3980,58,0.05,edge_deleted,85.0,66.0
3980,58,0.15,edge_deleted,81.0,60.5
3980,58,0.25,edge_deleted,74.0,54.0
3980,58,0.4,edge_deleted,54.0,36.5
