ego_id,n,p_delete,pivot_best_cost_average,lp_cost_average
0,333,0,,
0,333,0.05,,
0,333,0.15,,
0,333,0.25,,
0,333,0.4,,
107,1034,0,,
107,1034,0.05,,
107,1034,0.15,,
107,1034,0.25,,
107,1034,0.4,,
348,224,0,,
348,224,0.05,,
348,224,0.15,,
348,224,0.25,,
348,224,0.4,,
414,150,0,1012.0,739.0
414,150,0.05,987.0,705.5
414,150,0.15,897.0,628.5
414,150,0.25,872.0,550.5
414,150,0.4,756.0,438.5
686,168,0,1329.0,826.5
686,168,0.05,1270.0,786.5
686,168,0.15,1175.0,711.0
686,168,0.25,1052.0,633.5
686,168,0.4,872.0,524.5
698,61,0,107.0,94.0
698,61,0.05,107.0,91.0
698,61,0.15,113.0,79.0
698,61,0.25,102.0,70.0
698,61,0.4,82.0,52.5
1684,786,0,,
1684,786,0.05,,
1684,786,0.15,,
1684,786,0.25,,
1684,786,0.4,,
1912,747,0,,
1912,747,0.05,,
1912,747,0.15,,
1912,747,0.25,,
1912,747,0.4,,
3437,534,0,,
3437,534,0.05,,
3437,534,0.15,,
3437,534,0.25,,
3437,534,0.4,,
3980,52,0,88.0,68.5
3980,52,0.05,85.0,66.0
3980,52,0.15,81.0,60.5
3980,52,0.25,74.0,54.0
3980,52,0.4,54.0,36.5
