ego_id,n,p_delete,graph_variant,d_hat,lambda,number_of_seeds,minmaxcc_best,min_max_lp_cost_best,minmaxcc_best_to_lp_ratio,minmaxcc_average,min_max_lp_cost_average,minmaxcc_average_to_lp_ratio,minmaxcc_worst,min_max_lp_cost_worst,minmaxcc_worst_to_lp_ratio,best_seed,worst_seed,min_max_lp_rounding_cost_best_seed,min_max_lp_runtime_seconds_best_seed
0,342,0,complete,8,5,1,60.0,,,60.0,,,60.0,,,,,,
0,342,0.05,edge_deleted,8,5,30,52.0,,,57.766667,,,61.0,,,,,,
0,342,0.15,edge_deleted,8,5,30,42.0,,,49.033333,,,55.0,,,,,,
0,342,0.25,edge_deleted,8,5,30,34.0,,,40.333333,,,45.0,,,,,,
0,342,0.4,edge_deleted,8,5,30,36.0,,,40.366667,,,46.0,,,,,,
107,1035,0,complete,8,5,1,663.0,,,663.0,,,663.0,,,,,,
107,1035,0.05,edge_deleted,8,5,30,604.0,,,612.766667,,,623.0,,,,,,
107,1035,0.15,edge_deleted,8,5,30,499.0,,,512.133333,,,524.0,,,,,,
107,1035,0.25,edge_deleted,8,5,30,216.0,,,323.433333,,,435.0,,,,,,
107,1035,0.4,edge_deleted,8,5,30,153.0,,,163.0,,,178.0,,,,,,
348,226,0,complete,8,5,1,117.0,,,117.0,,,117.0,,,,,,
348,226,0.05,edge_deleted,8,5,30,101.0,,,106.066667,,,113.0,,,,,,
348,226,0.15,edge_deleted,8,5,30,82.0,,,89.133333,,,97.0,,,,,,
348,226,0.25,edge_deleted,8,5,30,61.0,,,69.566667,,,78.0,,,,,,
348,226,0.4,edge_deleted,8,5,30,37.0,,,43.1,,,55.0,,,,,,
414,155,0,complete,8,5,1,40.0,19.66068,2.034518,40.0,19.66068,2.034518,40.0,19.66068,2.034518,,,40.0,77.018743
414,155,0.05,edge_deleted,8,5,30,36.0,18.802041,1.914686,38.366667,18.729439,2.048616,40.0,18.343074,2.18066,11,3,36.0,91.09571
414,155,0.15,edge_deleted,8,5,30,30.0,16.842092,1.781251,34.566667,16.768437,2.061638,38.0,16.607014,2.28819,11,15,30.0,169.655085
414,155,0.25,edge_deleted,8,5,30,28.0,15.431529,1.814467,32.6,14.891979,2.190209,40.0,14.65104,2.730182,12,3,27.0,135.338705
414,155,0.4,edge_deleted,8,5,30,29.0,12.476072,2.32445,34.666667,11.941627,2.905312,39.0,11.974671,3.256874,30,19,24.0,124.551888
686,170,0,complete,8,5,1,58.0,30.479836,1.902897,58.0,30.479836,1.902897,58.0,30.479836,1.902897,,,69.0,143.783828
686,170,0.05,edge_deleted,8,5,30,50.0,29.121065,1.71697,53.366667,28.918725,1.845336,57.0,29.673365,1.920915,15,28,68.0,192.60013
686,170,0.15,edge_deleted,8,5,30,39.0,26.792096,1.455653,44.233333,25.786804,1.715637,51.0,25.765785,1.979369,23,24,58.0,113.432243
686,170,0.25,edge_deleted,8,5,30,34.0,22.923925,1.483167,38.733333,22.560157,1.716989,42.0,21.818382,1.924982,15,3,50.0,129.211153
686,170,0.4,edge_deleted,8,5,30,38.0,18.201845,2.0877,41.233333,17.760164,2.323835,47.0,17.317303,2.714049,7,21,36.0,141.221736
698,64,0,complete,8,5,1,29.0,10.640256,2.725498,29.0,10.640256,2.725498,29.0,10.640256,2.725498,,,18.0,3.04125
698,64,0.05,edge_deleted,8,5,30,26.0,9.821101,2.647361,27.7,10.012652,2.765594,28.0,9.851363,2.842246,19,21,16.0,2.945897
698,64,0.15,edge_deleted,8,5,30,22.0,8.369906,2.628464,25.233333,8.855071,2.846989,28.0,9.342861,2.996941,23,13,14.0,3.239967
698,64,0.25,edge_deleted,8,5,30,16.0,6.136967,2.607151,22.4,7.601873,2.940293,26.0,8.276403,3.141461,22,9,9.0,3.84592
