largest_clique_size,runs,avg_complete_ilp_cost,avg_new_ilp_with4_cost,avg_complete_lp_ilp_ratio,avg_complete_pivot_ilp_ratio,avg_new_lp_ilp_ratio_with4,avg_new_pivot_ilp_ratio_with4,avg_bad4_cycles,avg_imbalance_ratio
4,200,3.98,2.895,0.9958928571428571,1.0653333333333332,0.9958736359126984,1.2066468253968254,0.42,1.3333333333333333
5,1000,8.7,6.538,0.9981300865800866,1.15295248488548,0.9959609499131636,1.4158058447698398,2.852,1.6
7,200,17.52,13.385,1.0,1.2543580181025058,0.9994487179487179,1.6198911289350784,12.115,1.1666666666666667
8,200,10.02,7.865,1.0,1.1275520313020313,1.0,1.7339143825945296,7.9,1.1428571428571428
9,200,28.66,22.275,1.0,1.413577605957107,0.9998913043478261,1.7212851716601187,32.75,1.125
10,695,93.44172661870503,74.77553956834532,0.9812938292153989,1.408270077017137,0.9812441914389921,1.8241369831534051,369.9928057553957,1.2877697841726619
12,200,28.78,22.225,1.0,1.4477112069166846,0.999875,1.8288725927938905,40.41,2.0
13,200,29.06,22.79,1.0,1.3360271807518895,1.0,2.03441025913699,68.635,1.0833333333333333
15,400,42.09,32.7775,1.0,1.4658677655777423,0.9999456521739131,2.0667301892023193,126.59,2.0
20,200,42.7,33.185,1.0,1.4822194306054883,0.9998106591865358,2.199465002024998,146.57,4.0
25,95,496.81052631578945,402.5473684210526,1.0,1.843082927687705,1.0,2.117039775123065,8176.336842105263,1.0
60,95,494.7578947368421,400.4842105263158,1.0,1.8749552901027329,1.0,2.5055677925802557,17853.947368421053,12.0
