n,cluster_sizes,runs,pivot_ilp_complete,lp_ilp_complete,pivot_ilp_edge,lp_ilp_edge,bad4_cycles_avg
10,"[3, 2, 5]",200,1.0641904761904761,0.9946428571428572,1.2951270663705896,0.9950715519368369,0.47
10,"[3, 3, 4]",200,1.0653333333333332,0.9958928571428571,1.2066468253968254,0.9958736359126984,0.42
10,"[5, 5]",200,1.0514126984126984,1.0,1.4867297517297517,0.9965811965811966,0.825
15,"[5, 5, 3, 2]",200,1.2173918581418581,0.9983333333333333,1.3845117105117106,0.9935570586820587,2.39
15,"[5, 5, 5]",200,1.1504442110177404,0.9980909090909091,1.460646149602032,0.9982329280196928,3.385
15,"[8, 7]",200,1.1275520313020313,1.0,1.7339143825945296,1.0,7.9
20,"[10, 10]",200,1.248493056847775,1.0,1.8942493271421375,1.0,24.18
20,"[5, 5, 5, 5]",200,1.2813231806646264,0.9995833333333334,1.4495638860651396,0.9963463915835626,7.19
20,"[7, 7, 6]",200,1.2543580181025058,1.0,1.6198911289350784,0.9994487179487179,12.115
25,"[10, 10, 5]",200,1.3978772030386442,1.0,1.7894247057774129,0.9995450336700337,39.095
25,"[12, 7, 6]",200,1.4477112069166846,1.0,1.8288725927938905,0.999875,40.41
25,"[13, 12]",200,1.3360271807518895,1.0,2.03441025913699,1.0,68.635
25,"[9, 8, 8]",200,1.413577605957107,1.0,1.7212851716601187,0.9998913043478261,32.75
30,"[10, 10, 10]",200,1.466090486403719,1.0,1.876768001041502,1.0,81.45
30,"[15, 10, 5]",200,1.510278224747799,1.0,1.9657736088341506,0.9998913043478261,102.555
30,"[15, 15]",200,1.4214573064076854,1.0,2.167686769570488,1.0,150.625
30,"[20, 5, 5]",200,1.4822194306054883,1.0,2.199465002024998,0.9998106591865358,146.57
100,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",95,1.6447953080935,0.8631495926810758,1.6388083842042742,0.8637442770115029,2402.1052631578946
100,"[25, 25, 25, 25]",95,1.843082927687705,1.0,2.117039775123065,1.0,8176.336842105263
100,"[60, 25, 10, 5]",95,1.8749552901027329,1.0,2.5055677925802557,1.0,17853.947368421053
