clique_sizes,number_of_cliques,min_clique_size,max_clique_size,largest_clique_fraction,imbalance_ratio,balanced_or_unbalanced,runs,avg_complete_ilp_cost,avg_new_ilp_with4_cost,avg_complete_lp_ilp_ratio,avg_complete_pivot_ilp_ratio,avg_new_lp_ilp_ratio_with4,avg_new_pivot_ilp_ratio_with4,avg_bad4_cycles,avg_bad_triangle_density
3-3-4,3,3,4,0.4,1.3333333333333333,unbalanced,200,3.98,2.895,0.9958928571428571,1.0653333333333332,0.9958736359126984,1.2066468253968254,0.42,0.11416666666666667
5-5,2,5,5,0.5,1.0,balanced,200,3.98,3.0,1.0,1.0514126984126984,0.9965811965811966,1.4867297517297517,0.825,0.1525
3-2-5,3,2,5,0.5,2.5,unbalanced,200,3.78,2.77,0.9946428571428572,1.0641904761904761,0.9950715519368369,1.2951270663705896,0.47,0.1175
5-5-5,3,5,5,0.3333333333333333,1.0,balanced,200,9.32,7.115,0.9980909090909091,1.1504442110177404,0.9982329280196928,1.460646149602032,3.385,0.11604395604395605
5-5-3-2,4,2,5,0.3333333333333333,2.5,unbalanced,200,9.12,6.825,0.9983333333333333,1.2173918581418581,0.9935570586820587,1.3845117105117106,2.39,0.09824175824175824
5-5-5-5,4,5,5,0.25,1.0,balanced,200,17.3,12.98,0.9995833333333334,1.2813231806646264,0.9963463915835626,1.4495638860651396,7.19,0.09771929824561404
7-7-6,3,6,7,0.35,1.1666666666666667,unbalanced,200,17.52,13.385,1.0,1.2543580181025058,0.9994487179487179,1.6198911289350784,12.115,0.12285964912280702
8-7,2,7,8,0.5333333333333333,1.1428571428571428,unbalanced,200,10.02,7.865,1.0,1.1275520313020313,1.0,1.7339143825945296,7.9,0.17107692307692307
9-8-8,3,8,9,0.36,1.125,unbalanced,200,28.66,22.275,1.0,1.413577605957107,0.9998913043478261,1.7212851716601187,32.75,0.12795652173913044
10-10,2,10,10,0.5,1.0,balanced,200,17.9,13.93,1.0,1.248493056847775,1.0,1.8942493271421375,24.18,0.16907017543859648
10-10-10,3,10,10,0.3333333333333333,1.0,balanced,200,41.58,32.225,1.0,1.466090486403719,1.0,1.876768001041502,81.45,0.1331576354679803
10-10-5,3,5,10,0.4,2.0,unbalanced,200,29.04,22.445,1.0,1.3978772030386442,0.9995450336700337,1.7894247057774129,39.095,0.1372
10-10-10-10-10-10-10-10-10-10,10,10,10,0.1,1.0,balanced,95,497.2421052631579,402.62105263157895,0.8631495926810758,1.6447953080935,0.8637442770115029,1.6388083842042742,2402.1052631578946,0.06303837515867591
12-7-6,3,6,12,0.48,2.0,unbalanced,200,28.78,22.225,1.0,1.4477112069166846,0.999875,1.8288725927938905,40.41,0.1380608695652174
13-12,2,12,13,0.52,1.0833333333333333,unbalanced,200,29.06,22.79,1.0,1.3360271807518895,1.0,2.03441025913699,68.635,0.17495652173913043
15-15,2,15,15,0.5,1.0,balanced,200,42.18,32.9,1.0,1.4214573064076854,1.0,2.167686769570488,150.625,0.17567980295566502
15-10-5,3,5,15,0.5,3.0,unbalanced,200,42.0,32.655,1.0,1.510278224747799,0.9998913043478261,1.9657736088341506,102.555,0.14493103448275862
20-5-5,3,5,20,0.6666666666666666,4.0,unbalanced,200,42.7,33.185,1.0,1.4822194306054883,0.9998106591865358,2.199465002024998,146.57,0.167807881773399
25-25-25-25,4,25,25,0.25,1.0,balanced,95,496.81052631578945,402.5473684210526,1.0,1.843082927687705,1.0,2.117039775123065,8176.336842105263,0.11495661230999576
60-25-10-5,4,5,60,0.6,12.0,unbalanced,95,494.7578947368421,400.4842105263158,1.0,1.8749552901027329,1.0,2.5055677925802557,17853.947368421053,0.15779383523744425
