largest_clique_size,runs,runs_with_both_ilp,complete_ilp_cost,new_ilp_cost,new_over_complete_ilp,ilp_cost_reduction_fraction,complete_lp_ilp_ratio,new_lp_ilp_ratio,lp_ratio_change_new_minus_complete,complete_pivot_ilp_ratio,new_pivot_ilp_ratio,pivot_ratio_change_new_minus_complete,complete_bad_triangles_total,new_bad_triangles_total,bad_triangle_removed_fraction,complete_max_disjoint_over_ilp,new_max_disjoint_over_ilp,new_bad_4_cycles
4,200,200,3.98,2.895,0.727547619047619,0.27245238095238095,0.9958928571428571,0.9958736359126984,0.000151909722222224,1.0653333333333332,1.2066468253968254,0.13859126984126982,13.7,7.5,0.44643170579962205,0.9559285714285715,0.9500186011904762,0.42
5,1000,1000,8.7,6.538,0.755424893208114,0.24457510679188596,0.9981300865800866,0.9959609499131636,-0.002146425167895662,1.15295248488548,1.4158058447698398,0.2609956373958724,48.26,25.669,0.4588389895643411,0.9563291441873513,0.9370351236744336,2.852
7,200,200,17.52,13.385,0.765071255741499,0.23492874425850097,1.0,0.9994487179487179,-0.000551282051282051,1.2543580181025058,1.6198911289350784,0.3655331108325724,140.06,73.12,0.4738962826757044,0.9717033910533911,0.9526715054316094,12.115
8,200,200,10.02,7.865,0.7903895920256214,0.20961040797437855,1.0,1.0,0.0,1.1275520313020313,1.7339143825945296,0.6063623512924984,77.84,41.365,0.4668306163464114,0.9949901960784314,0.9738192669258846,7.9
9,200,200,28.66,22.275,0.7778032290845903,0.22219677091540968,1.0,0.9998913043478261,-0.00010869565217391297,1.413577605957107,1.7212851716601187,0.3077075657030117,294.3,154.755,0.4733513348651258,0.9678367493292916,0.9589933325180972,32.75
10,695,695,93.44172661870503,74.77553956834532,0.7813708312161098,0.21862916878389016,0.9812938292153989,0.9812441914389921,-4.963777640674926e-05,1.408270077017137,1.8241369831534051,0.41586690613626814,1695.1769784172661,934.5035971223022,0.47106493632273777,0.9512777230716937,0.945646465416406,369.9928057553957
12,200,200,28.78,22.225,0.7731196754196037,0.22688032458039628,1.0,0.999875,-0.0001250000000000001,1.4477112069166846,1.8288725927938905,0.38116138587720566,317.54,167.005,0.4737632374858893,0.9807486745398722,0.9752139703097358,40.41
13,200,200,29.06,22.79,0.7839197176529406,0.21608028234705945,1.0,1.0,0.0,1.3360271807518895,2.03441025913699,0.6983830783851003,402.4,212.26,0.47255328133683716,0.9977014282186696,0.9909104858477149,68.635
15,400,400,42.09,32.7775,0.779268868429638,0.22073113157036192,1.0,0.9999456521739131,-5.434782608695648e-05,1.4658677655777423,2.0667301892023193,0.600862423624577,650.84,343.7525,0.471910495280316,0.9899936440544862,0.9895726660539067,126.59
20,200,200,42.7,33.185,0.7773532380557551,0.22264676194424493,1.0,0.9998106591865358,-0.00018934081346423548,1.4822194306054883,2.199465002024998,0.7172455714195096,681.3,359.77,0.47211382564548254,0.9883661014004567,0.9899248077234318,146.57
25,95,95,496.81052631578945,402.5473684210526,0.8104860964522147,0.1895139035477853,1.0,1.0,0.0,1.843082927687705,2.117039775123065,0.27395684743536014,18588.484210526316,10358.115789473684,0.44237640095064484,0.9117095111627666,0.932156233092287,8176.336842105263
60,95,95,494.7578947368421,400.4842105263158,0.8093814592914831,0.1906185407085169,1.0,1.0,0.0,1.8749552901027329,2.5055677925802557,0.630612502477523,25515.263157894737,14224.631578947368,0.44240501056789183,0.9467083922905515,0.9771031314070612,17853.947368421053
