n,clique_sizes,number_of_cliques,largest_clique_size,imbalance_ratio,balanced_or_unbalanced,runs,runs_with_both_ilp,complete_ilp_cost,new_ilp_cost,new_over_complete_ilp,ilp_cost_reduction_fraction,complete_lp_ilp_ratio,new_lp_ilp_ratio,lp_ratio_change_new_minus_complete,complete_pivot_ilp_ratio,new_pivot_ilp_ratio,pivot_ratio_change_new_minus_complete,complete_bad_triangles_total,new_bad_triangles_total,bad_triangle_removed_fraction,complete_max_disjoint_over_ilp,new_max_disjoint_over_ilp,new_bad_4_cycles
10,3-3-4,3,4,1.3333333333333333,unbalanced,200,200,3.98,2.895,0.727547619047619,0.27245238095238095,0.9958928571428571,0.9958736359126984,0.000151909722222224,1.0653333333333332,1.2066468253968254,0.13859126984126982,13.7,7.5,0.44643170579962205,0.9559285714285715,0.9500186011904762,0.42
10,3-2-5,3,5,2.5,unbalanced,200,200,3.78,2.77,0.742297619047619,0.25770238095238096,0.9946428571428572,0.9950715519368369,0.0006229953121144843,1.0641904761904761,1.2951270663705896,0.22860843819393042,14.1,7.48,0.4538595277795987,0.9673095238095238,0.9413520848754009,0.47
10,5-5,2,5,1.0,balanced,200,200,3.98,3.0,0.7726547619047619,0.2273452380952381,1.0,0.9965811965811966,-0.0034188034188034192,1.0514126984126984,1.4867297517297517,0.433998778998779,18.3,9.67,0.4490710317589763,0.982920634920635,0.9503215303215303,0.825
15,5-5-3-2,4,5,2.5,unbalanced,200,200,9.12,6.825,0.7445028305028305,0.2554971694971695,0.9983333333333333,0.9935570586820587,-0.004776274651274653,1.2173918581418581,1.3845117105117106,0.16711985236985238,44.7,24.08,0.46029352370599463,0.948428404928405,0.9294500152625153,2.39
15,5-5-5,3,5,1.0,balanced,200,200,9.32,7.115,0.7662814011968424,0.23371859880315762,0.9980909090909091,0.9982329280196928,0.00014201892878363154,1.1504442110177404,1.460646149602032,0.3102019385842915,52.8,28.41,0.46123299271610374,0.948682412358883,0.9392302795243972,3.385
15,8-7,2,8,1.1428571428571428,unbalanced,200,200,10.02,7.865,0.7903895920256214,0.20961040797437855,1.0,1.0,0.0,1.1275520313020313,1.7339143825945296,0.6063623512924984,77.84,41.365,0.4668306163464114,0.9949901960784314,0.9738192669258846,7.9
20,5-5-5-5,4,5,1.0,balanced,200,200,17.3,12.98,0.7513878533885163,0.24861214661148368,0.9995833333333334,0.9963463915835626,-0.003236941749770693,1.2813231806646264,1.4495638860651396,0.16824070540051322,111.4,58.705,0.46973787186103205,0.9343047449193095,0.9253049621965358,7.19
20,7-7-6,3,7,1.1666666666666667,unbalanced,200,200,17.52,13.385,0.765071255741499,0.23492874425850097,1.0,0.9994487179487179,-0.000551282051282051,1.2543580181025058,1.6198911289350784,0.3655331108325724,140.06,73.12,0.4738962826757044,0.9717033910533911,0.9526715054316094,12.115
20,10-10,2,10,1.0,balanced,200,200,17.9,13.93,0.7810696708080517,0.21893032919194833,1.0,1.0,0.0,1.248493056847775,1.8942493271421375,0.6457562702943623,192.74,101.46,0.46992220914665295,0.9943047322446916,0.9841431591284533,24.18
25,9-8-8,3,9,1.125,unbalanced,200,200,28.66,22.275,0.7778032290845903,0.22219677091540968,1.0,0.9998913043478261,-0.00010869565217391297,1.413577605957107,1.7212851716601187,0.3077075657030117,294.3,154.755,0.4733513348651258,0.9678367493292916,0.9589933325180972,32.75
