n,p_positive,runs,runs_with_both_ilp,complete_ilp_cost,new_ilp_cost,new_over_complete_ilp,ilp_cost_reduction_fraction,complete_lp_ilp_ratio,new_lp_ilp_ratio,lp_ratio_change_new_minus_complete,complete_pivot_ilp_ratio,new_pivot_ilp_ratio,pivot_ratio_change_new_minus_complete,complete_bad_triangles_total,new_bad_triangles_total,bad_triangle_removed_fraction,complete_max_disjoint_over_ilp,new_max_disjoint_over_ilp,new_bad_4_cycles
5,0.2,200,200,0.64,0.125,0.19,0.81,0.97,0.9772727272727273,0.022727272727272728,1.02,1.0454545454545454,0.0,0.94,0.17,0.8275,0.92,0.9545454545454546,0.0
5,0.3,200,200,0.94,0.22,0.23511904761904762,0.7648809523809523,0.9857142857142858,0.9935897435897436,0.019230769230769232,1.0404761904761906,1.0897435897435896,0.01709401709401709,1.58,0.345,0.789937641723356,0.9619047619047619,0.9871794871794872,0.0
5,0.4,200,200,1.26,0.455,0.34593023255813954,0.6540697674418605,0.9806201550387597,0.9870892018779343,0.012910798122065725,1.058139534883721,1.0422535211267605,-0.02112676056338028,2.28,0.68,0.7211240310077519,0.937984496124031,0.9530516431924883,0.0
5,0.5,200,200,1.64,0.645,0.3900709219858156,0.6099290780141844,0.9929078014184397,0.9982078853046595,0.008960573476702507,1.0851063829787233,1.096774193548387,0.016129032258064516,3.34,1.09,0.675531914893617,0.9539007092198581,0.9695340501792115,0.005
5,0.6,200,200,2.08,1.07,0.5068027210884354,0.4931972789115646,0.9914965986394558,0.9944444444444445,0.003703703703703704,1.1547619047619047,1.1771604938271605,0.008641975308641978,4.46,1.98,0.5739795918367347,0.891156462585034,0.8938271604938272,0.05
5,0.7,200,200,2.22,1.385,0.6496598639455782,0.35034013605442177,0.9829931972789115,0.9906311637080868,0.008875739644970413,1.2040816326530612,1.21301775147929,0.010355029585798817,5.08,2.525,0.4976433430515063,0.8809523809523809,0.8747534516765286,0.11
5,0.8,200,200,1.78,1.255,0.7534013605442177,0.2465986394557823,1.0,1.0,0.0,1.1428571428571428,1.2401129943502824,0.08757062146892655,4.18,2.175,0.4656584062196307,0.945578231292517,0.908662900188324,0.165
10,0.2,200,200,4.48,0.93,0.21217261904761905,0.7878273809523809,0.9320833333333334,0.9470657276995306,0.016004359490274983,1.0548333333333333,1.0636150234741784,0.004342723004694836,11.62,1.88,0.8327663363001396,0.8092380952380952,0.8776995305164319,0.005
10,0.3,200,200,6.94,2.17,0.3114980158730159,0.6885019841269842,0.929849025974026,0.9584997982243745,0.034181860982708444,1.124119769119769,1.0616088243206887,-0.06014014234353217,22.64,5.46,0.7599392910747838,0.8076320346320346,0.875195049771321,0.035
10,0.4,200,200,9.2,3.85,0.41962842712842713,0.5803715728715728,0.9294859307359308,0.9597799954517642,0.03082204863667448,1.1589733044733044,1.1294958820469025,-0.031021095306809604,33.68,10.625,0.6837377004071364,0.8270764790764791,0.8365042553818064,0.275
