graph_family,n,runs,sparse_lp_new_p0.05,sparse_lp_new_p0.40,sparse_lp_gap_new_p0.05,sparse_lp_gap_new_p0.40
clique,10,600,0.9980753968253968,0.9921679197994988,0.0019246031746031752,0.007832080200501253
clique,15,600,0.998173665931019,0.996190075356742,0.001826334068981128,0.003809924643257988
clique,20,600,0.9998611111111111,0.9958971953971955,0.00013888888888888913,0.0041028046028045995
clique,25,800,1.0,0.9994200336700336,0.0,0.0005799663299663322
clique,30,800,1.0,0.9997019635343618,0.0,0.0002980364656381479
clique,100,180,0.9546264138167169,0.95523568275267,0.04537358618328317,0.044764317247329925
facebook,58,4,0.8918918918918919,0.9864864864864896,0.10810810810810811,0.013513513513510378
facebook,64,4,0.9680851063829788,0.9905660377358492,0.031914893617021156,0.00943396226415083
facebook,155,4,0.9307387862796904,0.943010752688172,0.06926121372030958,0.05698924731182797
facebook,170,4,,,,
random,5,1400,0.9901234567901234,1.0,0.009876543209876543,0.0
random,10,1400,0.9663470689363547,0.9837283837616284,0.03365293106364535,0.016271616238371554
random,15,1400,0.9150663735417576,0.9693294719175765,0.08493362645824244,0.030670528082423463
random,20,1400,0.8752479418983027,0.9494675426392599,0.1247520581016973,0.05053245736074
random,25,1400,0.8413119346530686,0.9257410993746196,0.15868806534693128,0.0742589006253805
random,30,1400,0.8159685079850804,0.8954403269402748,0.1840314920149196,0.10455967305972518
