n,cluster_sizes,p_delete,runs,avg_edges_deleted,avg_complete_ilp_cost,avg_edge_ilp_with4_cost,avg_edge_ilp_without4_cost,avg_new_over_complete_ilp,avg_cost_reduction_fraction,avg_complete_lp_ratio,avg_edge_lp_ratio_with4,avg_complete_pivot_ratio,avg_edge_pivot_ratio_with4,avg_complete_bad_triangles,avg_edge_bad_triangles,avg_bad_triangle_removed_fraction,avg_bad_4_cycles,cost_changed_by_4cycles_fraction,clustering_changed_by_4cycles_fraction
10,"[3, 2, 5]",0.05,50,2.24,3.78,3.54,3.54,0.9413095238095238,0.05869047619047619,0.9946428571428572,0.9954761904761905,1.0641904761904761,1.143190476190476,14.1,12.18,0.12542626165985926,0.0,0.0,0.0
10,"[3, 2, 5]",0.15,50,6.74,3.78,3.08,3.08,0.8199047619047619,0.18009523809523809,0.9946428571428572,0.9979591836734694,1.0641904761904761,1.2377551020408164,14.1,8.62,0.3691206438298415,0.38,0.0,0.0
10,"[3, 2, 5]",0.25,50,11.18,3.78,2.72,2.68,0.7268571428571429,0.27314285714285713,0.9946428571428572,0.9906462585034014,1.0641904761904761,1.3860544217687074,14.1,6.1,0.5549013073460671,0.78,0.04,0.14
10,"[3, 2, 5]",0.40,50,17.8,3.78,1.74,1.62,0.4811190476190476,0.5188809523809523,0.9946428571428572,0.9962962962962963,1.0641904761904761,1.4274074074074075,14.1,3.02,0.7659898982826269,0.72,0.12,0.16
10,"[3, 3, 4]",0.05,50,2.24,3.98,3.76,3.76,0.9536190476190476,0.04638095238095238,0.9958928571428571,0.99875,1.0653333333333332,1.0613333333333332,13.7,12.04,0.10521344930476711,0.06,0.0,0.02
10,"[3, 3, 4]",0.15,50,6.74,3.98,3.3,3.28,0.8274523809523809,0.17254761904761903,0.9958928571428571,0.9965714285714286,1.0653333333333332,1.1505238095238095,13.7,8.72,0.35522720687278503,0.42,0.02,0.06
10,"[3, 3, 4]",0.25,50,11.18,3.98,2.76,2.72,0.6817142857142857,0.3182857142857143,0.9958928571428571,0.9954081632653061,1.0653333333333332,1.2673469387755103,13.7,6.16,0.5533236882424795,0.68,0.04,0.06
10,"[3, 3, 4]",0.40,50,17.8,3.98,1.76,1.66,0.4474047619047619,0.5525952380952381,0.9958928571428571,0.9922480620155039,1.0653333333333332,1.371705426356589,13.7,3.08,0.7719624787784567,0.52,0.1,0.14
10,"[5, 5]",0.05,50,2.24,3.98,3.72,3.72,0.9460952380952381,0.05390476190476191,1.0,1.0,1.0514126984126984,1.1468888888888888,18.3,15.7,0.12763124255236605,0.08,0.0,0.0
10,"[5, 5]",0.15,50,6.74,3.98,3.3,3.3,0.8479682539682539,0.15203174603174602,1.0,1.0,1.0514126984126984,1.3838333333333332,18.3,11.08,0.3629365885926008,0.74,0.0,0.0
10,"[5, 5]",0.25,50,11.18,3.98,2.92,2.86,0.7536984126984126,0.2463015873015873,1.0,0.9975,1.0514126984126984,1.6208571428571428,18.3,7.82,0.5541267849961832,1.32,0.06,0.1
10,"[5, 5]",0.40,50,17.8,3.98,2.06,1.88,0.5428571428571428,0.45714285714285713,1.0,0.9879629629629629,1.0514126984126984,1.8296296296296297,18.3,4.08,0.751589510894755,1.16,0.18,0.28
15,"[5, 5, 3, 2]",0.05,50,4.96,9.12,8.64,8.64,0.9484293484293485,0.05157065157065157,0.9983333333333333,0.9979464285714286,1.2173918581418581,1.2784473304473305,44.7,38.84,0.1264305342376239,0.54,0.0,0.0
15,"[5, 5, 3, 2]",0.15,50,15.12,9.12,7.44,7.44,0.810191613941614,0.18980838605838604,0.9983333333333333,0.9934599567099567,1.2173918581418581,1.3153152403152404,44.7,28.16,0.36697967661407255,2.12,0.0,0.08
15,"[5, 5, 3, 2]",0.25,50,25.8,9.12,6.42,6.3,0.6962085414585415,0.30379145854145856,0.9983333333333333,0.9935373376623376,1.2173918581418581,1.3948311688311688,44.7,19.1,0.5754723661086033,3.38,0.1,0.22
15,"[5, 5, 3, 2]",0.40,50,41.38,9.12,4.8,4.5,0.5231818181818182,0.4768181818181818,0.9983333333333333,0.9892845117845117,1.2173918581418581,1.5494531024531024,44.7,10.22,0.7722915178636788,3.52,0.3,0.5
15,"[5, 5, 5]",0.05,50,4.96,9.32,8.88,8.88,0.954301948051948,0.045698051948051946,0.9980909090909091,0.996574569221628,1.1504442110177404,1.261630885454415,52.8,45.96,0.1252063524896607,0.88,0.0,0.0
15,"[5, 5, 5]",0.15,50,15.12,9.32,7.68,7.68,0.8255592495739554,0.17444075042604454,0.9980909090909091,0.9993333333333333,1.1504442110177404,1.4194799644799645,52.8,32.66,0.37806635613440764,3.04,0.0,0.04
15,"[5, 5, 5]",0.25,50,25.8,9.32,6.78,6.7,0.7311671253583019,0.2688328746416982,0.9980909090909091,0.9977380952380952,1.1504442110177404,1.519949938949939,52.8,22.76,0.5717311369415953,4.72,0.06,0.14
15,"[5, 5, 5]",0.40,50,41.38,9.32,5.12,4.98,0.5540972818031642,0.44590271819683586,0.9980909090909091,0.9992857142857142,1.1504442110177404,1.6415238095238096,52.8,12.26,0.7699281252987514,4.9,0.12,0.3
15,"[8, 7]",0.05,50,4.96,10.02,9.56,9.56,0.9560627069009422,0.043937293099057806,1.0,1.0,1.1275520313020313,1.2596878644231586,77.84,66.92,0.1375736963879086,1.66,0.0,0.0
15,"[8, 7]",0.15,50,15.12,10.02,8.64,8.64,0.8668583752848459,0.13314162471515412,1.0,1.0,1.1275520313020313,1.5448653536006478,77.84,48.28,0.37327615853354673,6.84,0.0,0.04
15,"[8, 7]",0.25,50,25.8,10.02,7.5,7.44,0.756732729688612,0.24326727031138795,1.0,1.0,1.1275520313020313,1.769676073926074,77.84,32.94,0.5756959166836516,11.7,0.04,0.08
15,"[8, 7]",0.40,50,41.38,10.02,5.76,5.52,0.5819045562280857,0.4180954437719144,1.0,1.0,1.1275520313020313,2.3614282384282386,77.84,17.32,0.7807766937805385,11.4,0.22,0.14
20,"[10, 10]",0.05,50,9.2,17.9,17.0,17.0,0.9532824209638934,0.04671757903610661,1.0,1.0,1.248493056847775,1.3478244107114077,192.74,166.04,0.13307551709703822,3.72,0.0,0.0
20,"[10, 10]",0.15,50,27.8,17.9,14.92,14.92,0.8354791574505269,0.16452084254947313,1.0,1.0,1.248493056847775,1.7227677327608004,192.74,117.36,0.3872855967931211,19.74,0.0,0.02
20,"[10, 10]",0.25,50,47.34,17.9,13.2,13.18,0.7402849478051167,0.25971505219488333,1.0,1.0,1.248493056847775,2.0322395839454663,192.74,81.1,0.5762121212011905,35.06,0.02,0.02
20,"[10, 10]",0.40,50,76.34,17.9,10.6,10.4,0.5952321570126697,0.4047678429873302,1.0,1.0,1.248493056847775,2.474165581150875,192.74,41.34,0.7831156014952619,38.2,0.12,0.08
20,"[5, 5, 5, 5]",0.05,50,9.2,17.3,16.32,16.32,0.9442755333589699,0.05572446664103011,0.9995833333333334,0.9995833333333334,1.2813231806646264,1.339980520007206,111.4,96.14,0.13351876774632404,1.24,0.0,0.04
20,"[5, 5, 5, 5]",0.15,50,27.8,17.3,14.06,14.02,0.8103962099423736,0.18960379005762637,0.9995833333333334,0.9989473684210526,1.2813231806646264,1.4099261436877535,111.4,68.2,0.3849758082857251,6.04,0.04,0.06
20,"[5, 5, 5, 5]",0.25,50,47.34,17.3,12.34,12.16,0.7166477740167133,0.2833522259832867,0.9995833333333334,0.9969581501831501,1.2813231806646264,1.5140518442685624,111.4,47.38,0.5702675174048789,10.18,0.16,0.32
20,"[5, 5, 5, 5]",0.40,50,76.34,17.3,9.2,8.68,0.5342318962360085,0.46576810376399147,0.9995833333333334,0.9898967143967144,1.2813231806646264,1.5342970362970363,111.4,23.1,0.7901893940072002,11.3,0.4,0.52
20,"[7, 7, 6]",0.05,50,9.2,17.52,16.62,16.62,0.9489794796572089,0.05102052034279117,1.0,1.0,1.2543580181025058,1.3726130762269542,140.06,120.6,0.13465484045417225,2.16,0.0,0.02
20,"[7, 7, 6]",0.15,50,27.8,17.52,14.4,14.38,0.8229730613503395,0.1770269386496604,1.0,1.0,1.2543580181025058,1.5343366317205327,140.06,85.04,0.38798968971415587,9.9,0.02,0.02
20,"[7, 7, 6]",0.25,50,47.34,17.52,12.76,12.7,0.7326349732213913,0.2673650267786087,1.0,1.0,1.2543580181025058,1.6596560165840353,140.06,58.16,0.5786014502606304,17.4,0.06,0.14
20,"[7, 7, 6]",0.40,50,76.34,17.52,9.76,9.24,0.5556975087370565,0.4443024912629435,1.0,0.9977948717948718,1.2543580181025058,1.9129587912087913,140.06,28.68,0.794339150273859,19.0,0.36,0.34
25,"[10, 10, 5]",0.05,50,14.66,29.04,27.52,27.52,0.9471237821528774,0.05287621784712258,1.0,1.0,1.3978772030386442,1.5114956165186701,315.56,270.22,0.1438318616932272,6.32,0.0,0.0
25,"[10, 10, 5]",0.15,50,44.62,29.04,23.94,23.94,0.8257585443649531,0.17424145563504687,1.0,1.0,1.3978772030386442,1.732849059765641,315.56,185.2,0.41069201565022756,36.4,0.0,0.02
