ego_id,n,p_delete,runs,avg_edges_deleted,avg_complete_ilp_cost,avg_edge_ilp_with4_cost,avg_edge_ilp_without4_cost,avg_new_over_complete_ilp,avg_cost_reduction_fraction,avg_complete_lp_ratio,avg_edge_lp_ratio_with4,avg_complete_pivot_ratio,avg_edge_pivot_ratio_with4,avg_complete_bad_triangles,avg_edge_bad_triangles,avg_bad_triangle_removed_fraction,avg_bad_4_cycles,cost_changed_by_4cycles_fraction,clustering_changed_by_4cycles_fraction
3980,58,0.05,1,81.0,75.0,74.0,74.0,0.9866666666666667,0.013333333333333334,0.9133333333333333,0.8918918918918919,1.1733333333333333,1.1486486486486487,616.0,556.0,0.09740259740259741,9.0,0.0,1.0
3980,58,0.15,1,236.0,75.0,67.0,67.0,0.8933333333333333,0.10666666666666667,0.9133333333333333,0.9029850746268657,1.1733333333333333,1.3880597014925373,616.0,411.0,0.3327922077922078,62.0,0.0,1.0
3980,58,0.25,1,407.0,75.0,58.0,58.0,0.7733333333333333,0.22666666666666666,0.9133333333333333,0.9310344827586207,1.1733333333333333,1.396551724137931,616.0,303.0,0.5081168831168831,126.0,0.0,1.0
3980,58,0.40,1,668.0,75.0,37.0,37.0,0.49333333333333335,0.5066666666666667,0.9133333333333333,0.9864864864864895,1.1733333333333333,1.4864864864864864,616.0,114.0,0.814935064935065,117.0,0.0,1.0
698,64,0.05,1,98.0,97.0,94.0,94.0,0.9690721649484536,0.030927835051546393,0.9690721649484536,0.9680851063829787,1.2268041237113403,1.1382978723404256,1039.0,950.0,0.08565928777670838,13.0,0.0,0.0
698,64,0.15,1,290.0,97.0,82.0,82.0,0.845360824742268,0.15463917525773196,0.9690721649484536,0.9634146341463414,1.2268041237113403,1.451219512195122,1039.0,704.0,0.3224254090471607,110.0,0.0,0.0
698,64,0.25,1,499.0,97.0,72.0,72.0,0.7422680412371134,0.25773195876288657,0.9690721649484536,0.9722222222222222,1.2268041237113403,1.4861111111111112,1039.0,513.0,0.5062560153994226,206.0,0.0,0.0
698,64,0.40,1,810.0,97.0,53.0,53.0,0.5463917525773195,0.4536082474226804,0.9690721649484536,0.9905660377358491,1.2268041237113403,1.5471698113207548,1039.0,244.0,0.7651588065447545,288.0,0.0,1.0
414,155,0.05,1,598.0,797.0,758.0,757.0,0.9510664993726474,0.04893350062735257,0.9272271016311281,0.9307387862796905,1.3739021329987453,1.412928759894459,17471.0,14981.0,0.14252189342338734,1116.0,1.0,1.0
414,155,0.15,1,1794.0,797.0,670.0,669.0,0.8406524466750314,0.15934755332496864,0.9272271016311281,0.9380597014925333,1.3739021329987453,1.4791044776119402,17471.0,10769.0,0.38360712037090033,6433.0,1.0,1.0
414,155,0.25,1,2959.0,797.0,591.0,589.0,0.7415307402760352,0.2584692597239649,0.9272271016311281,0.9314720812182741,1.3739021329987453,1.5549915397631133,17471.0,7386.0,0.5772422872188198,11017.0,1.0,1.0
414,155,0.40,1,4721.0,797.0,465.0,463.0,0.5834378920953576,0.41656210790464243,0.9272271016311281,0.943010752688172,1.3739021329987453,1.6688172043010752,17471.0,3871.0,0.7784328315494248,11434.0,1.0,1.0
686,170,0.05,1,735.0,,,,,,,,,,28716.0,24671.0,0.14086223708037332,,,
686,170,0.15,1,2190.0,,,,,,,,,,28716.0,17975.0,0.37404234573060313,,,
686,170,0.25,1,3615.0,,,,,,,,,,28716.0,12580.0,0.5619167014904582,,,
686,170,0.40,1,5753.0,,,,,,,,,,28716.0,7080.0,0.7534475553698287,,,
