graph_family,p_delete,runs,runs_with_both_4cycle_costs,avg_bad_4_cycles,avg_ilp_without4,avg_ilp_with4,cost_changed_count,cost_changed_percent,known_clustering_count,clustering_changed_count,clustering_changed_percent
clique,0.05,895,895,83.04692737430167,43.712849162011175,43.712849162011175,0,0.0,895,7,0.7821229050279329
clique,0.15,1000,1000,1323.379,78.918,78.924,6,0.6,1000,34,3.4
clique,0.25,895,895,795.5899441340782,34.084916201117316,34.134078212290504,40,4.4692737430167595,895,79,8.8268156424581
clique,0.40,895,895,821.8,26.858100558659217,27.075977653631284,164,18.324022346368714,895,208,23.24022346368715
facebook,0.05,4,3,379.3333333333333,308.3333333333333,308.6666666666667,1,33.333333333333336,3,2,66.66666666666667
facebook,0.15,4,3,2201.6666666666665,272.6666666666667,273.0,1,33.333333333333336,3,2,66.66666666666667
facebook,0.25,4,3,3783.0,239.66666666666666,240.33333333333334,1,33.333333333333336,3,2,66.66666666666667
facebook,0.40,4,3,3946.3333333333335,184.33333333333334,185.0,1,33.333333333333336,3,3,100.0
random,0.05,2100,2100,10.143809523809523,40.853809523809524,40.857619047619046,8,0.38095238095238093,2100,429,20.428571428571427
random,0.15,2100,2100,51.93952380952381,31.70190476190476,31.743333333333332,85,4.0476190476190474,2100,584,27.80952380952381
random,0.25,2100,2100,72.35714285714286,23.064285714285713,23.196666666666665,242,11.523809523809524,2100,648,30.857142857142858
random,0.40,2100,2100,51.77571428571429,12.371428571428572,12.661904761904761,425,20.238095238095237,2100,668,31.80952380952381
