graph_family,p_delete_num,runs,avg_complete_ilp_cost,avg_edge_ilp_cost,avg_complete_cost_per_edge,avg_edge_cost_per_remaining_edge,avg_normalized_new_over_complete_cost,avg_cost_reduction_fraction
clique,0.05,895.0,46.00446927374302,43.712849162011175,0.09340905221846933,0.09310158757821915,0.997365344899907,0.05126695982587376
clique,0.15,895.0,46.00446927374302,38.67821229050279,0.09340905221846933,0.09151522250378678,0.9788116571433433,0.1658651865624144
clique,0.25,895.0,46.00446927374302,34.134078212290504,0.09340905221846933,0.09097603694492241,0.974844963535024,0.2669459957948738
clique,0.4,895.0,46.00446927374302,27.075977653631284,0.09340905221846933,0.08674160328308952,0.9328168374278265,0.43897993429781634
facebook,0.05,4.0,323.0,308.6666666666667,0.053421837696397155,0.054314632551892644,1.0191087251935906,0.0310648896707441
facebook,0.15,4.0,323.0,273.0,0.053421837696397155,0.053620039305610934,1.006294287683933,0.14021779841645576
facebook,0.25,4.0,323.0,240.33333333333334,0.053421837696397155,0.05328443296440169,0.9994497214892061,0.24762262838450602
facebook,0.4,4.0,323.0,185.0,0.053421837696397155,0.048656127373283675,0.9021740748180833,0.4589456739979965
random,0.05,2100.0,45.16952380952381,40.857619047619046,0.22364209003625649,0.2103996655180149,0.9210765044414523,0.12222618292393096
random,0.15,2100.0,45.16952380952381,31.743333333333332,0.22364209003625649,0.17873609068050209,0.7403661770586454,0.36910199818030387
random,0.25,2100.0,45.16952380952381,23.196666666666665,0.22364209003625649,0.1452783235763817,0.5870749735873926,0.5571052761345096
random,0.4,2100.0,45.16952380952381,12.661904761904761,0.22364209003625649,0.0956783999620817,0.40609337684182667,0.7536556472003217
