graph_family,p_delete_num,avg_complete_bad_triangles,avg_edge_bad_triangles,avg_complete_bad_triangle_density,avg_edge_bad_triangle_density,avg_bad_triangle_removed_fraction,avg_bad4_per_1000_remaining_edges
clique,0.05,1162.9474860335195,999.7240223463688,0.1374144442637368,0.11851292493982168,0.13368574992655605,35.51876765830243
clique,0.15,1162.9474860335195,706.7977653631285,0.1374144442637368,0.08400090888704459,0.38324572902463805,227.29137441428648
clique,0.25,1162.9474860335195,485.3754189944134,0.1374144442637368,0.05817025726933784,0.5738691350696936,428.457235505272
clique,0.4,1162.9474860335195,251.59217877094972,0.1374144442637368,0.029821944923752633,0.7798577079886593,554.2561650552334
facebook,0.05,11960.5,10289.5,0.027325260027901394,0.024025314590697545,0.11661150392076661,36.98060829547246
facebook,0.15,11960.5,7464.75,0.027325260027901394,0.017563498521383246,0.353216770735218,247.28038909900803
facebook,0.25,11960.5,5195.5,0.027325260027901394,0.012476289828433674,0.5383829718063959,488.10068729809035
facebook,0.4,11960.5,2827.25,0.027325260027901394,0.006177930244876802,0.7779935645997682,647.5204527869463
random,0.05,423.1595238095238,345.66714285714284,0.31282655344777965,0.25508920981273114,0.21971027116591635,34.290357912330876
random,0.15,423.1595238095238,216.1995238095238,0.31282655344777965,0.1572164015192822,0.56914270232535,196.95668317639613
random,0.25,423.1595238095238,125.37,0.31282655344777965,0.09136089199196705,0.7659918999439383,313.2569060212206
random,0.4,423.1595238095238,45.81761904761905,0.31282655344777965,0.03350584099698753,0.9164366608213382,279.9959840237683
