graph_family,p_delete_num,avg_bad_4_cycles,avg_bad4_per_1000_remaining_edges,avg_fourcycle_cost_gap,avg_fourcycle_cost_gap_per_remaining_edge,fourcycle_cost_changed_fraction,fourcycle_clustering_changed_fraction,same_cost_different_clustering_fraction
clique,0.05,83.04692737430167,35.51876765830243,0.0,0.0,0.0,0.00782122905027933,0.00782122905027933
clique,0.15,481.5731843575419,227.29137441428648,0.00558659217877095,4.9917642215173636e-05,0.00558659217877095,0.030167597765363128,0.02569832402234637
clique,0.25,795.5899441340782,428.457235505272,0.049162011173184354,0.0005701342230882379,0.0446927374301676,0.08826815642458101,0.060335195530726256
clique,0.4,821.8,554.2561650552334,0.21787709497206703,0.002439776335578167,0.18324022346368715,0.2324022346368715,0.10391061452513967
facebook,0.05,379.3333333333333,36.98060829547246,0.3333333333333333,2.940225221251948e-05,0.3333333333333333,0.6666666666666666,0.3333333333333333
facebook,0.15,2201.6666666666665,247.28038909900803,0.3333333333333333,3.286986819182855e-05,0.3333333333333333,0.6666666666666666,0.3333333333333333
facebook,0.25,3783.0,488.10068729809035,0.6666666666666666,7.42721330956625e-05,0.3333333333333333,0.6666666666666666,0.3333333333333333
facebook,0.4,3946.3333333333335,647.5204527869463,0.6666666666666666,9.24129008409574e-05,0.3333333333333333,1.0,0.6666666666666666
random,0.05,10.143809523809523,34.290357912330876,0.0038095238095238095,1.7649186976024754e-05,0.0038095238095238095,0.2042857142857143,0.20095238095238097
random,0.15,51.93952380952381,196.95668317639613,0.041428571428571426,0.000609205451108926,0.04047619047619048,0.2780952380952381,0.23952380952380953
random,0.25,72.35714285714286,313.2569060212206,0.13238095238095238,0.0016666813807547252,0.11523809523809524,0.30857142857142855,0.1961904761904762
random,0.4,51.77571428571429,279.9959840237683,0.2904761904761905,0.003773650453999141,0.20238095238095238,0.3180952380952381,0.11952380952380952
