graph_family,n,p_delete_num,runs,avg_complete_pivot_ratio,avg_edge_pivot_ratio,avg_complete_lp_ratio,avg_edge_lp_ratio,median_runtime_seconds,max_runtime_seconds
clique,10,0.05,150.0,1.6708526455026453,1.7846378306878312,0.9968452380952382,0.9980753968253968,0.041705131530761705,0.2104058265686035
clique,10,0.15,150.0,1.6708526455026453,2.0693608181527643,0.9968452380952382,0.9981783317353787,0.037024974822998,0.2232329845428466
clique,10,0.25,150.0,1.6708526455026453,2.2403861003861,0.9968452380952382,0.9945382882882883,0.03143346309661865,0.1335999965667724
clique,10,0.4,150.0,1.6708526455026453,2.3367919799498744,0.9968452380952382,0.9921679197994986,0.027075171470642048,0.0885319709777832
clique,15,0.05,150.0,1.8935253491062312,1.9768482090349737,0.9988080808080807,0.9981736659310187,0.14909958839416498,0.1926369667053222
clique,15,0.15,150.0,1.8935253491062312,2.0988952495217204,0.9988080808080807,0.9975977633477633,0.12766742706298823,0.1581768989562988
clique,15,0.25,150.0,1.8935253491062312,2.2514099086099084,0.9988080808080807,0.9970918109668109,0.11259269714355465,0.1357839107513427
clique,15,0.4,150.0,1.8935253491062312,2.5445799811299814,0.9988080808080807,0.996190075356742,0.0938150882720947,0.1593918800354004
clique,20,0.05,150.0,1.996205820806617,2.0777711920576944,0.9998611111111112,0.9998611111111112,0.4130210876464844,0.4715268611907959
clique,20,0.15,150.0,1.996205820806617,2.2590201807303636,0.9998611111111112,0.9996491228070176,0.34926295280456543,0.4009969234466553
clique,20,0.25,150.0,1.996205820806617,2.3865680173742088,0.9998611111111112,0.99898605006105,0.30538785457611084,0.3523290157318115
clique,20,0.4,150.0,1.996205820806617,2.5295330257977318,0.9998611111111112,0.9958971953971953,0.25429511070251465,0.3327381610870361
clique,25,0.05,200.0,2.0952202734578202,2.2012981395993707,1.0,1.0,0.9468255043029785,1.0375819206237793
clique,25,0.15,200.0,2.0952202734578202,2.3863646324817793,1.0,1.0,0.7669788599014282,0.8904116153717041
clique,25,0.25,200.0,2.0952202734578202,2.533366343646143,1.0,0.9998913043478261,0.672142744064331,0.9366278648376464
clique,25,0.4,200.0,2.0952202734578202,2.663259650496394,1.0,0.9994200336700336,0.5726850032806396,0.6670658588409424
clique,30,0.05,200.0,2.2239149317763616,2.361016934517399,1.0,1.0,1.7503999471664429,291.8850917816162
clique,30,0.15,200.0,2.2239149317763616,2.6436171300880322,1.0,1.0,1.5276734828948975,1.6838688850402832
clique,30,0.25,200.0,2.2239149317763616,2.830496937536358,1.0,1.0,1.301243782043457,4.313094854354858
clique,30,0.4,200.0,2.2239149317763616,3.018907546689063,1.0,0.9997019635343619,1.0707387924194336,1.329690933227539
clique,100,0.05,45.0,2.1462970003203568,2.216933644775239,0.9548648561295192,0.9546264138167169,116.371563911438,1791.393721818924
clique,100,0.15,45.0,2.1462970003203568,2.3314883533559074,0.9548648561295192,0.9555881125857747,99.92138075828552,334.50723028182983
clique,100,0.25,45.0,2.1462970003203568,2.396697907404341,0.9548648561295192,0.9564655068715295,93.54951691627502,469.6805350780487
clique,100,0.4,45.0,2.1462970003203568,2.483214927092775,0.9548648561295192,0.95523568275267,82.3013801574707,343.8723096847534
facebook,58,0.05,1.0,1.4466666666666668,1.398648648648649,0.9133333333333332,0.8918918918918919,25.556480884552,25.556480884552
facebook,58,0.15,1.0,1.4466666666666668,1.516417910447761,0.9133333333333332,0.9029850746268656,25.49323272705078,25.49323272705078
facebook,58,0.25,1.0,1.4466666666666668,1.539655172413793,0.9133333333333332,0.9310344827586208,13.382734060287476,13.382734060287476
facebook,58,0.4,1.0,1.4466666666666668,1.6297297297297295,0.9133333333333332,0.9864864864864896,6.51894998550415,6.51894998550415
facebook,64,0.05,1.0,1.711340206185567,1.6819148936170212,0.9690721649484536,0.9680851063829788,61.229390144348145,61.229390144348145
facebook,64,0.15,1.0,1.711340206185567,1.8231707317073171,0.9690721649484536,0.9634146341463414,55.34868407249451,55.34868407249451
facebook,64,0.25,1.0,1.711340206185567,1.9305555555555556,0.9690721649484536,0.9722222222222222,28.80160164833069,28.80160164833069
facebook,64,0.4,1.0,1.711340206185567,1.9226415094339624,0.9690721649484536,0.9905660377358492,15.914793014526367,15.914793014526367
facebook,155,0.05,1.0,1.5232120451693851,1.545382585751979,0.927227101631128,0.9307387862796904,1644.1335637569427,1644.1335637569427
facebook,155,0.15,1.0,1.5232120451693851,1.6434328358208954,0.927227101631128,0.9380597014925331,2576.461215019226,2576.461215019226
facebook,155,0.25,1.0,1.5232120451693851,1.683756345177665,0.927227101631128,0.931472081218274,898.0743181705475,898.0743181705475
facebook,155,0.4,1.0,1.5232120451693851,1.764516129032258,0.927227101631128,0.943010752688172,514.0343158245087,514.0343158245087
facebook,170,0.05,1.0,,,,,368.60119104385376,368.60119104385376
facebook,170,0.15,1.0,,,,,470.5893321037293,470.5893321037293
facebook,170,0.25,1.0,,,,,270.8615779876709,270.8615779876709
facebook,170,0.4,1.0,,,,,236.18790221214297,236.18790221214297
random,5,0.05,350.0,1.3647867564534233,1.4069753086419752,0.9876543209876545,0.9901234567901236,0.006517529487609849,0.0122499465942382
random,5,0.15,350.0,1.3647867564534233,1.4934609250398727,0.9876543209876545,0.9952153110047847,0.005932927131652801,0.0381050109863281
random,5,0.25,350.0,1.3647867564534233,1.5351111111111113,0.9876543209876545,0.9966666666666667,0.00522410869598385,0.0082459449768066
random,5,0.4,350.0,1.3647867564534233,1.5987012987012987,0.9876543209876545,1.0,0.0047122240066527505,0.0083699226379394
random,10,0.05,350.0,1.443674579388865,1.4543422577422578,0.9601047583369011,0.9663470689363547,0.044816613197326646,0.0953507423400878
random,10,0.15,350.0,1.443674579388865,1.5217958290835647,0.9601047583369011,0.9799427249898948,0.038832902908325154,0.0756947994232177
random,10,0.25,350.0,1.443674579388865,1.5639766618124826,0.9601047583369011,0.9812120352698711,0.03367149829864495,0.064000129699707
random,10,0.4,350.0,1.443674579388865,1.655005660710448,0.9601047583369011,0.9837283837616285,0.0285577774047851,0.0735759735107421
random,15,0.05,350.0,1.4517748593374757,1.4736803440143331,0.9020865455463276,0.9150663735417576,0.19375455379486078,0.6560318470001221
random,15,0.15,350.0,1.4517748593374757,1.4701660501177343,0.9020865455463276,0.9404666923719802,0.1687406301498413,0.5194461345672607
random,15,0.25,350.0,1.4517748593374757,1.4966351397400055,0.9020865455463276,0.9556654338239058,0.13634705543518066,0.2983009815216064
random,15,0.4,350.0,1.4517748593374757,1.5726545240925691,0.9020865455463276,0.9693294719175765,0.11409461498260495,0.2467248439788818
random,20,0.05,350.0,1.4674337062282825,1.4813826678633761,0.8649921320308587,0.8752479418983027,0.6063705682754517,3.728745222091675
random,20,0.15,350.0,1.4674337062282825,1.4899531693018035,0.8649921320308587,0.9066005817461152,0.7946397066116333,5.764090061187744
random,20,0.25,350.0,1.4674337062282825,1.5156765043776315,0.8649921320308587,0.9252471733494338,0.4578034877777099,1.989729881286621
random,20,0.4,350.0,1.4674337062282825,1.537449899647065,0.8649921320308587,0.9494675426392599,0.37308001518249506,1.7786731719970703
random,25,0.05,350.0,1.4635565774242403,1.4849108089761187,0.8333374030445366,0.8413119346530689,1.6029058694839478,15.40296506881714
random,25,0.15,350.0,1.4635565774242403,1.4851492543388485,0.8333374030445366,0.8727829337858525,3.4697835445404053,29.711196184158325
random,25,0.25,350.0,1.4635565774242403,1.4883204491030149,0.8333374030445366,0.8948337864552082,1.1409331560134888,6.265577077865601
random,25,0.4,350.0,1.4635565774242403,1.5141870090561682,0.8333374030445366,0.9257410993746196,1.1216144561767578,14.184755086898804
random,30,0.05,350.0,1.4527003393605504,1.4742468298736315,0.8122451969362853,0.8159685079850804,11.479368090629578,1340.0841319561005
random,30,0.15,350.0,1.4527003393605504,1.482650098561244,0.8122451969362853,0.8468314444592625,14.635431170463562,925.5256128311156
random,30,0.25,350.0,1.4527003393605504,1.4851888245100746,0.8122451969362853,0.8660403179368541,4.5372607707977295,145.75143122673035
random,30,0.4,350.0,1.4527003393605504,1.4846347820113936,0.8122451969362853,0.895440326940275,3.27507746219635,119.6243109703064
