graph_family,input_description,n,p_delete,p_positive,clique_sizes_label,num_cliques,largest_clique_size,clique_imbalance_ratio,ego_id,avg_edge_pivot_ratio,avg_edge_lp_ratio,avg_complete_bad_triangle_density,avg_edge_bad_triangle_density,median_runtime_seconds
clique,clique 3-2-5,10,0.05,,3-2-5,3.0,5.0,2.5,,1.7837428571428573,0.9954761904761905,0.1175,0.10149999999999998,0.0409690141677856
clique,clique 3-2-5,10,0.15,,3-2-5,3.0,5.0,2.5,,2.015646258503401,0.9979591836734694,0.1175,0.07183333333333333,0.03578507900238035
clique,clique 3-2-5,10,0.25,,3-2-5,3.0,5.0,2.5,,2.108639455782313,0.9906462585034015,0.1175,0.05083333333333333,0.0309430360794067
clique,clique 3-2-5,10,0.4,,3-2-5,3.0,5.0,2.5,,2.2609999999999997,0.9962962962962962,0.1175,0.025166666666666667,0.0263985395431518
clique,clique 3-3-4,10,0.05,,3-3-4,3.0,4.0,1.3333333333333333,,1.6072761904761905,0.99875,0.11416666666666667,0.10033333333333332,0.04162704944610595
clique,clique 3-3-4,10,0.15,,3-3-4,3.0,4.0,1.3333333333333333,,1.7399285714285713,0.9965714285714286,0.11416666666666667,0.07266666666666667,0.03668892383575435
clique,clique 3-3-4,10,0.25,,3-3-4,3.0,4.0,1.3333333333333333,,1.88156462585034,0.9954081632653061,0.11416666666666667,0.05133333333333333,0.0305379629135131
clique,clique 3-3-4,10,0.4,,3-3-4,3.0,4.0,1.3333333333333333,,1.9294186046511628,0.992248062015504,0.11416666666666667,0.025666666666666664,0.026577353477478
clique,clique 5-5,10,0.05,,5-5,2.0,5.0,1.0,,1.9628944444444445,1.0,0.1525,0.13083333333333333,0.04473996162414545
clique,clique 5-5,10,0.15,,5-5,2.0,5.0,1.0,,2.451433333333333,1.0,0.1525,0.09233333333333332,0.039082646369934
clique,clique 5-5,10,0.25,,5-5,2.0,5.0,1.0,,2.721142857142857,0.9975,0.1525,0.06516666666666665,0.0338854789733886
clique,clique 5-5,10,0.4,,5-5,2.0,5.0,1.0,,2.801851851851852,0.9879629629629628,0.1525,0.033999999999999996,0.029639482498168897
clique,clique 5-5-3-2,15,0.05,,5-5-3-2,4.0,5.0,2.5,,1.8396632395382395,0.9979464285714286,0.09824175824175825,0.08536263736263736,0.14770996570587155
clique,clique 5-5-3-2,15,0.15,,5-5-3-2,4.0,5.0,2.5,,1.9236007104007107,0.9934599567099568,0.09824175824175825,0.061890109890109894,0.1259628534317016
