file_name,graph_family,n,p_positive,cluster_sizes,ego_id,seed,ilp_without4,ilp_with4,cost_changed,same_clustering_4_cycle,same_cost_different_clustering,bad4_cycles
fb_ego698_full.json,facebook,64,,,698,1,82.0,82.0,False,true,False,110
fb_ego3980_full.json,facebook,58,,,3980,1,67.0,67.0,False,false,True,62
fb_ego414_full.json,facebook,155,,,414,1,669.0,670.0,True,false,False,6433
random_n15_p07.json,random,15,0.7,,,1,29.0,29.0,False,true,False,10
random_n15_p07.json,random,15,0.7,,,2,25.0,25.0,False,true,False,27
random_n15_p07.json,random,15,0.7,,,3,27.0,27.0,False,false,True,28
random_n15_p07.json,random,15,0.7,,,4,29.0,29.0,False,false,True,15
random_n15_p07.json,random,15,0.7,,,5,28.0,28.0,False,false,True,19
random_n15_p07.json,random,15,0.7,,,6,30.0,30.0,False,false,True,14
random_n15_p07.json,random,15,0.7,,,7,27.0,27.0,False,true,False,20
random_n15_p07.json,random,15,0.7,,,8,22.0,22.0,False,true,False,17
random_n15_p07.json,random,15,0.7,,,9,26.0,26.0,False,true,False,14
random_n15_p07.json,random,15,0.7,,,10,26.0,26.0,False,false,True,30
random_n15_p07.json,random,15,0.7,,,11,25.0,25.0,False,true,False,31
random_n15_p07.json,random,15,0.7,,,12,25.0,25.0,False,true,False,19
random_n15_p07.json,random,15,0.7,,,13,28.0,28.0,False,true,False,8
random_n15_p07.json,random,15,0.7,,,14,28.0,28.0,False,false,True,21
random_n15_p07.json,random,15,0.7,,,15,30.0,30.0,False,false,True,13
random_n15_p07.json,random,15,0.7,,,16,27.0,27.0,False,true,False,22
random_n15_p07.json,random,15,0.7,,,17,21.0,21.0,False,true,False,16
random_n15_p07.json,random,15,0.7,,,18,27.0,27.0,False,false,True,13
random_n15_p07.json,random,15,0.7,,,19,24.0,24.0,False,false,True,19
random_n15_p07.json,random,15,0.7,,,20,24.0,24.0,False,true,False,27
random_n15_p07.json,random,15,0.7,,,21,27.0,27.0,False,true,False,12
random_n15_p07.json,random,15,0.7,,,22,28.0,28.0,False,true,False,16
random_n15_p07.json,random,15,0.7,,,23,23.0,23.0,False,true,False,15
random_n15_p07.json,random,15,0.7,,,24,28.0,28.0,False,false,True,16
random_n15_p07.json,random,15,0.7,,,25,26.0,26.0,False,true,False,24
random_n15_p07.json,random,15,0.7,,,26,29.0,29.0,False,true,False,3
random_n15_p07.json,random,15,0.7,,,27,29.0,29.0,False,true,False,24
random_n15_p07.json,random,15,0.7,,,28,26.0,26.0,False,true,False,17
random_n15_p07.json,random,15,0.7,,,29,25.0,25.0,False,false,True,27
random_n15_p07.json,random,15,0.7,,,30,28.0,28.0,False,true,False,8
random_n15_p07.json,random,15,0.7,,,31,24.0,24.0,False,true,False,31
random_n15_p07.json,random,15,0.7,,,32,29.0,29.0,False,false,True,16
random_n15_p07.json,random,15,0.7,,,33,27.0,27.0,False,true,False,20
random_n15_p07.json,random,15,0.7,,,34,28.0,28.0,False,false,True,9
random_n15_p07.json,random,15,0.7,,,35,26.0,26.0,False,true,False,13
random_n15_p07.json,random,15,0.7,,,36,25.0,25.0,False,true,False,18
random_n15_p07.json,random,15,0.7,,,37,24.0,24.0,False,true,False,25
random_n15_p07.json,random,15,0.7,,,38,24.0,24.0,False,true,False,45
random_n15_p07.json,random,15,0.7,,,39,27.0,27.0,False,true,False,14
random_n15_p07.json,random,15,0.7,,,40,19.0,19.0,False,true,False,26
random_n15_p07.json,random,15,0.7,,,41,24.0,24.0,False,true,False,18
random_n15_p07.json,random,15,0.7,,,42,27.0,27.0,False,true,False,24
random_n15_p07.json,random,15,0.7,,,43,29.0,29.0,False,true,False,16
random_n15_p07.json,random,15,0.7,,,44,28.0,28.0,False,true,False,16
random_n15_p07.json,random,15,0.7,,,45,28.0,28.0,False,true,False,14
random_n15_p07.json,random,15,0.7,,,46,23.0,23.0,False,true,False,24
random_n15_p07.json,random,15,0.7,,,47,27.0,27.0,False,true,False,14
random_n15_p07.json,random,15,0.7,,,48,22.0,22.0,False,true,False,43
random_n15_p07.json,random,15,0.7,,,49,24.0,24.0,False,true,False,24
random_n15_p07.json,random,15,0.7,,,50,27.0,27.0,False,true,False,28
random_n15_p06.json,random,15,0.6,,,1,24.0,24.0,False,true,False,4
random_n15_p06.json,random,15,0.6,,,2,27.0,27.0,False,true,False,9
random_n15_p06.json,random,15,0.6,,,3,23.0,23.0,False,false,True,25
random_n15_p06.json,random,15,0.6,,,4,27.0,27.0,False,true,False,7
random_n15_p06.json,random,15,0.6,,,5,27.0,27.0,False,false,True,12
random_n15_p06.json,random,15,0.6,,,6,28.0,28.0,False,true,False,14
random_n15_p06.json,random,15,0.6,,,7,29.0,29.0,False,false,True,17
random_n15_p06.json,random,15,0.6,,,8,31.0,31.0,False,false,True,17
random_n15_p06.json,random,15,0.6,,,9,18.0,18.0,False,false,True,7
random_n15_p06.json,random,15,0.6,,,10,28.0,28.0,False,false,True,26
random_n15_p06.json,random,15,0.6,,,11,25.0,25.0,False,false,True,24
random_n15_p06.json,random,15,0.6,,,12,24.0,24.0,False,false,True,7
random_n15_p06.json,random,15,0.6,,,13,26.0,26.0,False,true,False,6
random_n15_p06.json,random,15,0.6,,,14,25.0,25.0,False,true,False,11
random_n15_p06.json,random,15,0.6,,,15,29.0,29.0,False,true,False,9
random_n15_p06.json,random,15,0.6,,,16,22.0,22.0,False,true,False,11
random_n15_p06.json,random,15,0.6,,,17,27.0,27.0,False,false,True,13
random_n15_p06.json,random,15,0.6,,,18,22.0,22.0,False,false,True,8
random_n15_p06.json,random,15,0.6,,,19,22.0,22.0,False,true,False,15
random_n15_p06.json,random,15,0.6,,,20,28.0,28.0,False,true,False,22
random_n15_p06.json,random,15,0.6,,,21,22.0,22.0,False,true,False,2
random_n15_p06.json,random,15,0.6,,,22,27.0,27.0,False,false,True,8
random_n15_p06.json,random,15,0.6,,,23,25.0,25.0,False,false,True,7
random_n15_p06.json,random,15,0.6,,,24,26.0,26.0,False,false,True,8
random_n15_p06.json,random,15,0.6,,,25,26.0,26.0,False,true,False,18
random_n15_p06.json,random,15,0.6,,,26,28.0,28.0,False,true,False,2
random_n15_p06.json,random,15,0.6,,,27,21.0,21.0,False,true,False,13
random_n15_p06.json,random,15,0.6,,,28,22.0,22.0,False,true,False,15
random_n15_p06.json,random,15,0.6,,,29,24.0,24.0,False,true,False,22
random_n15_p06.json,random,15,0.6,,,30,29.0,29.0,False,true,False,6
random_n15_p06.json,random,15,0.6,,,31,24.0,25.0,True,false,False,23
random_n15_p06.json,random,15,0.6,,,32,27.0,27.0,False,true,False,12
random_n15_p06.json,random,15,0.6,,,33,25.0,25.0,False,true,False,14
random_n15_p06.json,random,15,0.6,,,34,27.0,27.0,False,true,False,8
random_n15_p06.json,random,15,0.6,,,35,28.0,28.0,False,false,True,19
random_n15_p06.json,random,15,0.6,,,36,26.0,26.0,False,true,False,15
random_n15_p06.json,random,15,0.6,,,37,21.0,21.0,False,true,False,17
random_n15_p06.json,random,15,0.6,,,38,25.0,25.0,False,true,False,31
random_n15_p06.json,random,15,0.6,,,39,21.0,21.0,False,true,False,11
random_n15_p06.json,random,15,0.6,,,40,23.0,23.0,False,false,True,21
random_n15_p06.json,random,15,0.6,,,41,23.0,23.0,False,false,True,7
random_n15_p06.json,random,15,0.6,,,42,27.0,27.0,False,false,True,12
random_n15_p06.json,random,15,0.6,,,43,30.0,30.0,False,false,True,19
random_n15_p06.json,random,15,0.6,,,44,26.0,26.0,False,false,True,12
random_n15_p06.json,random,15,0.6,,,45,26.0,26.0,False,true,False,13
random_n15_p06.json,random,15,0.6,,,46,27.0,27.0,False,true,False,15
random_n15_p06.json,random,15,0.6,,,47,25.0,25.0,False,false,True,12
random_n15_p06.json,random,15,0.6,,,48,26.0,26.0,False,true,False,28
random_n15_p06.json,random,15,0.6,,,49,22.0,22.0,False,false,True,14
random_n15_p06.json,random,15,0.6,,,50,28.0,28.0,False,false,True,18
random_n15_p05.json,random,15,0.5,,,1,20.0,20.0,False,true,False,2
random_n15_p05.json,random,15,0.5,,,2,21.0,21.0,False,true,False,3
random_n15_p05.json,random,15,0.5,,,3,20.0,20.0,False,false,True,8
random_n15_p05.json,random,15,0.5,,,4,23.0,23.0,False,false,True,4
random_n15_p05.json,random,15,0.5,,,5,22.0,22.0,False,true,False,12
random_n15_p05.json,random,15,0.5,,,6,20.0,20.0,False,true,False,8
random_n15_p05.json,random,15,0.5,,,7,18.0,18.0,False,false,True,9
random_n15_p05.json,random,15,0.5,,,8,31.0,31.0,False,true,False,16
random_n15_p05.json,random,15,0.5,,,9,15.0,15.0,False,false,True,3
random_n15_p05.json,random,15,0.5,,,10,24.0,24.0,False,false,True,26
random_n15_p05.json,random,15,0.5,,,11,18.0,19.0,True,false,False,17
random_n15_p05.json,random,15,0.5,,,12,19.0,19.0,False,false,True,3
random_n15_p05.json,random,15,0.5,,,13,19.0,19.0,False,true,False,4
random_n15_p05.json,random,15,0.5,,,14,20.0,20.0,False,false,True,8
random_n15_p05.json,random,15,0.5,,,15,26.0,26.0,False,true,False,6
random_n15_p05.json,random,15,0.5,,,16,15.0,15.0,False,false,True,6
random_n15_p05.json,random,15,0.5,,,17,24.0,24.0,False,false,True,5
random_n15_p05.json,random,15,0.5,,,18,15.0,15.0,False,false,True,6
random_n15_p05.json,random,15,0.5,,,19,16.0,16.0,False,false,True,8
random_n15_p05.json,random,15,0.5,,,20,25.0,25.0,False,true,False,20
random_n15_p05.json,random,15,0.5,,,21,20.0,20.0,False,true,False,2
random_n15_p05.json,random,15,0.5,,,22,21.0,21.0,False,true,False,6
random_n15_p05.json,random,15,0.5,,,23,19.0,19.0,False,true,False,4
random_n15_p05.json,random,15,0.5,,,24,20.0,20.0,False,false,True,3
random_n15_p05.json,random,15,0.5,,,25,23.0,23.0,False,true,False,13
random_n15_p05.json,random,15,0.5,,,26,24.0,24.0,False,true,False,1
random_n15_p05.json,random,15,0.5,,,27,19.0,19.0,False,false,True,10
random_n15_p05.json,random,15,0.5,,,28,15.0,15.0,False,false,True,2
random_n15_p05.json,random,15,0.5,,,29,23.0,23.0,False,true,False,9
random_n15_p05.json,random,15,0.5,,,30,29.0,29.0,False,false,True,3
random_n15_p05.json,random,15,0.5,,,31,20.0,20.0,False,false,True,12
random_n15_p05.json,random,15,0.5,,,32,20.0,20.0,False,true,False,7
random_n15_p05.json,random,15,0.5,,,33,19.0,19.0,False,false,True,8
random_n15_p05.json,random,15,0.5,,,34,21.0,21.0,False,false,True,2
random_n15_p05.json,random,15,0.5,,,35,26.0,26.0,False,true,False,9
random_n15_p05.json,random,15,0.5,,,36,24.0,24.0,False,true,False,12
random_n15_p05.json,random,15,0.5,,,37,17.0,17.0,False,true,False,8
random_n15_p05.json,random,15,0.5,,,38,23.0,23.0,False,false,True,25
random_n15_p05.json,random,15,0.5,,,39,19.0,19.0,False,false,True,7
random_n15_p05.json,random,15,0.5,,,40,23.0,23.0,False,true,False,10
random_n15_p05.json,random,15,0.5,,,41,16.0,16.0,False,true,False,1
random_n15_p05.json,random,15,0.5,,,42,22.0,22.0,False,true,False,11
random_n15_p05.json,random,15,0.5,,,43,21.0,21.0,False,false,True,7
random_n15_p05.json,random,15,0.5,,,44,21.0,21.0,False,true,False,4
random_n15_p05.json,random,15,0.5,,,45,19.0,19.0,False,false,True,14
random_n15_p05.json,random,15,0.5,,,46,22.0,22.0,False,false,True,12
random_n15_p05.json,random,15,0.5,,,47,20.0,21.0,True,false,False,6
random_n15_p05.json,random,15,0.5,,,48,20.0,20.0,False,true,False,17
random_n15_p05.json,random,15,0.5,,,49,17.0,17.0,False,false,True,6
random_n15_p05.json,random,15,0.5,,,50,22.0,22.0,False,false,True,13
random_n15_p08.json,random,15,0.8,,,1,25.0,25.0,False,true,False,19
random_n15_p08.json,random,15,0.8,,,2,19.0,19.0,False,true,False,27
random_n15_p08.json,random,15,0.8,,,3,17.0,17.0,False,true,False,20
random_n15_p08.json,random,15,0.8,,,4,23.0,23.0,False,true,False,12
random_n15_p08.json,random,15,0.8,,,5,26.0,26.0,False,true,False,19
random_n15_p08.json,random,15,0.8,,,6,28.0,28.0,False,true,False,25
random_n15_p08.json,random,15,0.8,,,7,22.0,22.0,False,true,False,22
random_n15_p08.json,random,15,0.8,,,8,14.0,14.0,False,true,False,15
random_n15_p08.json,random,15,0.8,,,9,18.0,18.0,False,true,False,11
random_n15_p08.json,random,15,0.8,,,10,20.0,20.0,False,true,False,37
random_n15_p08.json,random,15,0.8,,,11,20.0,20.0,False,true,False,36
random_n15_p08.json,random,15,0.8,,,12,24.0,24.0,False,true,False,23
random_n15_p08.json,random,15,0.8,,,13,22.0,22.0,False,true,False,12
random_n15_p08.json,random,15,0.8,,,14,21.0,21.0,False,true,False,26
