ego_id,n,p_delete,complete_pivot_best_cost,complete_lp_cost,edge_pivot_best_cost,edge_all_pairs_lp_cost
414,155,0.05,1012,739.0000000000091,987,705.5
414,155,0.15,1012,739.0000000000091,897,628.4999999999973
414,155,0.25,1012,739.0000000000091,872,550.5
414,155,0.4,1012,739.0000000000091,756,438.5
686,170,0.05,1329,826.5,1270,786.5
686,170,0.15,1329,826.5,1175,711.0
686,170,0.25,1329,826.5,1052,633.5
686,170,0.4,1329,826.5,872,524.5
698,64,0.05,107,94.0,107,91.0
698,64,0.15,107,94.0,113,79.0
698,64,0.25,107,94.0,102,70.0
698,64,0.4,107,94.0,82,52.5
3980,58,0.05,88,68.5,85,66.0
3980,58,0.15,88,68.5,81,60.5
3980,58,0.25,88,68.5,74,54.0
3980,58,0.4,88,68.5,54,36.5
