ego_id,n,p_delete,graph_variant,min_max_cc_max_disagreement,min_max_lp_cost,min_max_cc_to_lp_ratio,d_hat,lambda,min_max_lp_rounding_cost,min_max_lp_runtime_seconds
414,155,0,complete,40,19.66067980133753,2.0345,8,5,40.0,84.420666
414,155,0.05,edge_deleted,40,18.91164913960283,2.1151,8,5,36.0,384.931329
414,155,0.15,edge_deleted,34,16.98110844754926,2.0022,8,5,34.0,168.142592
414,155,0.25,edge_deleted,31,15.036199619321858,2.0617,8,5,30.0,120.463761
414,155,0.4,edge_deleted,27,11.950842618929416,2.2593,4,5,24.0,119.996288
686,170,0,complete,55,30.479835926925343,1.8045,8,8,69.0,170.045979
686,170,0.05,edge_deleted,46,28.802888467756446,1.5971,8,8,64.0,350.37624
686,170,0.15,edge_deleted,45,25.74861097098251,1.7477,8,5,57.0,195.025116
686,170,0.25,edge_deleted,40,22.713187977128865,1.7611,8,5,46.0,153.887289
686,170,0.4,edge_deleted,39,18.98558806562166,2.0542,4,12,38.0,170.092723
698,64,0,complete,24,10.640256103144264,2.2556,4,5,18.0,2.096319
698,64,0.05,edge_deleted,23,10.430018479589954,2.2052,4,5,17.0,2.357935
698,64,0.15,edge_deleted,19,9.012972975875602,2.1081,2,12,16.0,2.263272
698,64,0.25,edge_deleted,19,7.818353607092952,2.4302,2,8,12.0,2.427207
698,64,0.4,edge_deleted,13,6.214016453672987,2.092,2,8,9.0,2.353851
3980,58,0,complete,18,7.342016808374426,2.4516,2,12,13.0,1.278858
3980,58,0.05,edge_deleted,13,7.110462087654551,1.8283,2,8,13.0,1.829155
3980,58,0.15,edge_deleted,16,6.419627240564038,2.4924,2,8,13.0,1.998175
3980,58,0.25,edge_deleted,12,5.917246150485917,2.028,2,5,13.0,1.666949
3980,58,0.4,edge_deleted,9,3.575662893177328,2.517,1,8,6.0,1.70607
