n,balance,ratio,runs,mean,std,ci95_low,ci95_high
10,balanced,pivot_average_to_lp,387,2.0904926017135317,0.9704050928810518,1.9935064920714467,2.1874787113556167
10,unbalanced,pivot_average_to_lp,193,2.007295105010131,0.887949607078289,1.8812273885740376,2.133362821446224
15,balanced,pivot_average_to_lp,400,2.352792878003165,0.8873150732463441,2.2655730318743137,2.440012724132016
15,unbalanced,pivot_average_to_lp,200,1.964136580292162,0.6108452685764812,1.8789613028840368,2.049311857700287
20,balanced,pivot_average_to_lp,600,2.3079758189141377,0.6097757147777211,2.2590857104985407,2.3568659273297348
25,balanced,pivot_average_to_lp,400,2.5107358289162756,0.5250284194738268,2.459127443867386,2.562344213965165
25,unbalanced,pivot_average_to_lp,400,2.3642522364147056,0.3387937450078228,2.330950042864799,2.3975544299646123
30,balanced,pivot_average_to_lp,400,2.624899705644572,0.4840580531187758,2.5773185586727463,2.672480852616398
30,unbalanced,pivot_average_to_lp,400,2.704809114083586,0.45701291708742714,2.6598864056690563,2.749731822498116
100,balanced,pivot_average_to_lp,160,2.188039935390239,0.18768604540173645,2.1587351692776076,2.21734470150287
100,unbalanced,pivot_average_to_lp,80,2.9006123706237443,0.3161657659566458,2.830253125997869,2.9709716152496197
