file_name,file_path,graph_family,graph_type,n,seed,p_delete,p_positive,cluster_sizes,ego_id,complete_pivot_best_cost,complete_pivot_average_cost,complete_bad_triangles_total,complete_bad_triangles_min_disjoint,complete_bad_triangles_max_disjoint,complete_ilp_cost,complete_lp_cost,complete_primal_cost,complete_dual_cost,complete_average_pivot_approx,complete_lp_ratio,complete_bad_triangle_primal_ratio,complete_bad_triangle_dual_ratio,complete_min_disjoint_bad_triangle_ratio,complete_max_disjoint_bad_triangle_ratio,edge_num_edges_deleted,edge_pivot_best_cost,edge_pivot_average_cost,edge_bad_triangles_total,edge_bad_triangles_min_disjoint,edge_bad_triangles_max_disjoint,edge_ilp_without4_cost,edge_ilp_with4_cost,edge_bad_4_cycles_count,same_clustering_4_cycle,edge_lp_without4_cost,edge_lp_with4_cost,edge_primal_cost,edge_dual_cost,edge_average_pivot_approx_without4,edge_average_pivot_approx_with4,edge_lp_ratio_without4,edge_lp_ratio_with4,edge_bad_triangle_primal_ratio,edge_bad_triangle_dual_ratio,edge_min_disjoint_bad_triangle_ratio,edge_max_disjoint_bad_triangle_ratio,edge_all_pairs_ilp_cost,edge_all_pairs_lp_cost,edge_all_pairs_lp_to_ilp_ratio,edge_all_pairs_ilp_runtime_seconds,edge_all_pairs_lp_runtime_seconds,edge_all_pairs_ilp_optimal,runtime_seconds
clq_n10_2x5.json,results/experiments_results_clique/n10/clq_n10_2x5.json,clique,clique,10,1,0.05,,"[5, 5]",,7,10.9,29,,7,7.0,7.0,7.0,,1.5571428571428572,1.0,1.0,,,1.0,2,6,8.9,21,,6,6.0,6.0,0.0,,6.0,6.0,6.0,,1.4833333333333334,1.4833333333333334,1.0,1.0,1.0,,,1.0,6.0,6.0,1.0,0.0030000209808349,0.0,True,0.0739071369171142
clq_n10_2x5.json,results/experiments_results_clique/n10/clq_n10_2x5.json,clique,clique,10,1,0.15,,"[5, 5]",,7,10.9,29,,7,7.0,7.0,7.0,,1.5571428571428572,1.0,1.0,,,1.0,6,5,8.71,16,,5,5.0,5.0,0.0,,5.0,5.0,5.0,,1.7420000000000002,1.7420000000000002,1.0,1.0,1.0,,,1.0,5.0,5.0,1.0,0.002000093460083,0.0009999275207519,True,0.038680076599121
clq_n10_2x5.json,results/experiments_results_clique/n10/clq_n10_2x5.json,clique,clique,10,1,0.25,,"[5, 5]",,7,10.9,29,,7,7.0,7.0,7.0,,1.5571428571428572,1.0,1.0,,,1.0,8,5,7.86,13,,5,5.0,5.0,2.0,,5.0,5.0,5.0,,1.572,1.572,1.0,1.0,1.0,,,1.0,5.0,5.0,1.0,0.002000093460083,0.0,True,0.0381147861480712
clq_n10_2x5.json,results/experiments_results_clique/n10/clq_n10_2x5.json,clique,clique,10,1,0.4,,"[5, 5]",,7,10.9,29,,7,7.0,7.0,7.0,,1.5571428571428572,1.0,1.0,,,1.0,15,3,5.07,5,,3,3.0,3.0,1.0,,3.0,3.0,3.0,,1.6900000000000002,1.6900000000000002,1.0,1.0,1.0,,,1.0,3.0,3.0,1.0,0.002000093460083,0.0,True,0.0298049449920654
clq_n10_2x5.json,results/experiments_results_clique/n10/clq_n10_2x5.json,clique,clique,10,2,0.05,,"[5, 5]",,1,1.68,3,,1,1.0,1.0,1.0,,1.68,1.0,1.0,,,1.0,0,1,1.68,3,,1,1.0,1.0,0.0,,1.0,1.0,1.0,,1.68,1.68,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0.0030000209808349,0.0009999275207519,True,0.0426640510559082
clq_n10_2x5.json,results/experiments_results_clique/n10/clq_n10_2x5.json,clique,clique,10,2,0.15,,"[5, 5]",,1,1.68,3,,1,1.0,1.0,1.0,,1.68,1.0,1.0,,,1.0,4,1,3.01,3,,1,1.0,1.0,0.0,,1.0,1.0,1.0,,3.01,3.01,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0.002000093460083,0.0,True,0.0383698940277099
clq_n10_2x5.json,results/experiments_results_clique/n10/clq_n10_2x5.json,clique,clique,10,2,0.25,,"[5, 5]",,1,1.68,3,,1,1.0,1.0,1.0,,1.68,1.0,1.0,,,1.0,8,1,3.62,3,,1,1.0,1.0,0.0,,1.0,1.0,1.0,,3.62,3.62,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0.002000093460083,0.001000165939331,True,0.0333690643310546
clq_n10_2x5.json,results/experiments_results_clique/n10/clq_n10_2x5.json,clique,clique,10,2,0.4,,"[5, 5]",,1,1.68,3,,1,1.0,1.0,1.0,,1.68,1.0,1.0,,,1.0,14,1,2.75,3,,1,1.0,1.0,0.0,,1.0,1.0,1.0,,2.75,2.75,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0.002000093460083,0.0009999275207519,True,0.0282328128814697
clq_n10_2x5.json,results/experiments_results_clique/n10/clq_n10_2x5.json,clique,clique,10,3,0.05,,"[5, 5]",,3,5.63,13,,3,3.0,3.0,3.0,,1.8766666666666667,1.0,1.0,,,1.0,2,3,5.63,13,,3,3.0,3.0,0.0,,3.0,3.0,3.0,,1.8766666666666667,1.8766666666666667,1.0,1.0,1.0,,,1.0,3.0,3.0,1.0,0.0030000209808349,0.0,True,0.0416169166564941
clq_n10_2x5.json,results/experiments_results_clique/n10/clq_n10_2x5.json,clique,clique,10,3,0.15,,"[5, 5]",,3,5.63,13,,3,3.0,3.0,3.0,,1.8766666666666667,1.0,1.0,,,1.0,6,3,5.11,9,,3,3.0,3.0,0.0,,3.0,3.0,3.0,,1.7033333333333334,1.7033333333333334,1.0,1.0,1.0,,,1.0,3.0,3.0,1.0,0.0030000209808349,0.0,True,0.0363128185272216
