ego_id,n,p_delete,graph_variant,pivot_best_cost,pivot_average_cost,averagepivot_approximation,bestpivot_approximation,pivot_runtime_seconds_average,lp_runtime_seconds_average
3980,52,0,complete,85.0,117.44,1.714453,1.240876,,
3980,52,0.05,edge_deleted,82.0,113.14,1.701353,1.233083,,
3980,52,0.15,edge_deleted,74.0,95.51,1.661043,1.286957,,
3980,52,0.25,edge_deleted,68.0,85.4,1.691089,1.346535,,
3980,52,0.4,edge_deleted,48.0,57.0,1.704673,1.435514,,
698,61,0,complete,109.0,148.42,1.578936,1.159574,,
698,61,0.05,edge_deleted,119.0,150.47,1.653516,1.307692,,
698,61,0.15,edge_deleted,107.0,145.83,1.725799,1.266272,,
698,61,0.25,edge_deleted,101.0,132.58,1.791622,1.364865,,
698,61,0.4,edge_deleted,87.0,106.85,1.908036,1.553571,,
414,150,0,complete,1024.0,1209.48,1.636644,1.385656,,
414,150,0.05,edge_deleted,985.0,1171.23,1.663679,1.399148,,
414,150,0.15,edge_deleted,914.0,1091.63,1.707673,1.429801,,
414,150,0.25,edge_deleted,899.0,1003.7,1.770975,1.586237,,
414,150,0.4,edge_deleted,771.0,839.07,1.862531,1.711432,,
686,168,0,complete,1338.0,1649.13,1.995318,1.618875,,
686,168,0.05,edge_deleted,1233.0,1522.15,1.964065,1.590968,,
686,168,0.15,edge_deleted,1173.0,1331.57,1.936829,1.706182,,
686,168,0.25,edge_deleted,1017.0,1171.75,1.914624,1.661765,,
686,168,0.4,edge_deleted,823.0,903.22,1.855614,1.690806,,
348,224,0,complete,2499.0,3077.56,,,,
0,333,0,complete,2028.0,2388.16,,,,
3437,534,0,complete,3959.0,4505.17,,,,
1912,747,0,complete,17389.0,21577.51,,,,
1684,786,0,complete,12574.0,14232.68,,,,
107,1034,0,complete,23780.0,26133.19,,,,
