ego_id,n,p_delete,minmaxcc_ratio_best,minmaxcc_ratio_average,minmaxcc_ratio_worst,minmaxcc_to_lp_rounding_clustering_ratio_best,minmaxcc_to_lp_rounding_clustering_ratio_average,minmaxcc_to_lp_rounding_clustering_ratio_worst,minmaxcc_runtime_seconds_average,min_max_lp_runtime_seconds_average,lp_reference_source
3980,52,0,2.451642,2.451642,2.451642,1.384615,1.384615,1.384615,0.000157,1.128399,computed_complete_same_instance
3980,52,0.05,2.384697,2.48285,2.656027,1.142857,1.356419,1.545455,0.000123,1.158706,computed_edge_same_instance
3980,52,0.15,2.408121,2.609369,2.911427,1.153846,1.426682,1.777778,0.000172,1.173161,computed_edge_same_instance
3980,52,0.25,2.357019,2.691692,3.128962,1.076923,1.532303,2.0,0.000243,1.293095,computed_edge_same_instance
3980,52,0.4,2.573365,2.930697,3.504196,1.222222,1.605225,2.0,0.000138,1.24277,computed_edge_same_instance
698,61,0,2.725498,2.725498,2.725498,1.611111,1.611111,1.611111,0.000184,2.422038,computed_complete_same_instance
698,61,0.05,2.613112,2.747043,2.809015,1.12,1.584675,1.923077,0.000172,2.701235,computed_edge_same_instance
698,61,0.15,2.563402,2.811045,2.940552,1.272727,1.665361,2.0,0.000164,2.391374,computed_edge_same_instance
698,61,0.25,2.537032,2.929739,3.096014,1.352941,1.764664,2.090909,0.000167,2.755889,computed_edge_same_instance
698,61,0.4,2.853118,3.145392,3.4177,1.266667,1.749124,2.222222,0.000171,2.672743,computed_edge_same_instance
414,150,0,2.034518,2.034518,2.034518,1.0,1.0,1.0,0.002495,80.255523,computed_complete_same_instance
414,150,0.05,1.955995,2.046703,2.141365,0.904762,1.092053,1.3,0.002464,116.75107,computed_edge_same_instance
414,150,0.15,1.916929,2.099493,2.269871,1.0,1.096105,1.310345,0.002372,117.080578,computed_edge_same_instance
414,150,0.25,1.905913,2.196289,2.82988,1.0,1.177464,1.666667,0.002302,114.473495,computed_edge_same_instance
414,150,0.4,2.296606,2.9408,3.293375,1.076923,1.57449,1.947368,0.002227,105.93669,computed_edge_same_instance
686,168,0,1.902897,1.902897,1.902897,0.84058,0.84058,0.84058,0.003366,121.408937,computed_complete_same_instance
686,168,0.05,1.709544,1.82379,1.976203,0.746269,0.859005,1.102041,0.003628,131.797018,computed_edge_same_instance
686,168,0.15,1.508268,1.736308,1.942102,0.689655,0.819923,0.918367,0.003246,144.164836,computed_edge_same_instance
686,168,0.25,1.540687,1.776202,2.02637,0.698113,0.832801,0.977778,0.003163,148.033097,computed_edge_same_instance
686,168,0.4,2.067296,2.417276,2.760268,0.904762,1.120143,1.371429,0.003087,145.839133,computed_edge_same_instance
348,224,0,2.990033,2.990033,2.990033,,,,0.009387,,davies2023_complete_graph_lp
348,224,0.05,2.606696,2.709771,2.88781,,,,0.008801,,davies2023_complete_graph_lp
348,224,0.15,2.121135,2.272766,2.453361,,,,0.008277,,davies2023_complete_graph_lp
348,224,0.25,1.584462,1.802539,2.146691,,,,0.007803,,davies2023_complete_graph_lp
348,224,0.4,0.945566,1.101457,1.252236,,,,0.007254,,davies2023_complete_graph_lp
0,333,0,,,,,,,0.022709,,unavailable
0,333,0.05,,,,,,,0.02257,,unavailable
0,333,0.15,,,,,,,0.022473,,unavailable
0,333,0.25,,,,,,,0.021965,,unavailable
0,333,0.4,,,,,,,0.022033,,unavailable
3437,534,0,,,,,,,0.135671,,unavailable
3437,534,0.05,,,,,,,0.104619,,unavailable
3437,534,0.15,,,,,,,0.100398,,unavailable
3437,534,0.25,,,,,,,0.102693,,unavailable
3437,534,0.4,,,,,,,0.103391,,unavailable
1912,747,0,,,,,,,0.275939,,unavailable
1912,747,0.05,,,,,,,0.298759,,unavailable
1912,747,0.15,,,,,,,0.286092,,unavailable
1912,747,0.25,,,,,,,0.293223,,unavailable
1912,747,0.4,,,,,,,0.301045,,unavailable
1684,786,0,,,,,,,0.291831,,unavailable
1684,786,0.05,,,,,,,0.298399,,unavailable
1684,786,0.15,,,,,,,0.305162,,unavailable
1684,786,0.25,,,,,,,0.304337,,unavailable
1684,786,0.4,,,,,,,0.296385,,unavailable
107,1034,0,,,,,,,0.677503,,unavailable
107,1034,0.05,,,,,,,0.671614,,unavailable
107,1034,0.15,,,,,,,0.664058,,unavailable
107,1034,0.25,,,,,,,0.66325,,unavailable
107,1034,0.4,,,,,,,0.651929,,unavailable
