ego_id,n,p_delete,ratio,runs,mean,std,ci95_low,ci95_high
3980,52,0.05,pivot_average_to_lp,30.0,1.7088853111923212,0.03001918756277493,1.6976759623358886,1.7200946600487539
3980,52,0.15,pivot_average_to_lp,30.0,1.6923926682061547,0.03998844972566555,1.6774607356791484,1.707324600733161
3980,52,0.25,pivot_average_to_lp,30.0,1.6928864397175751,0.038276450626046475,1.678593778160491,1.7071791012746593
3980,52,0.4,pivot_average_to_lp,30.0,1.7087986213296462,0.04842022392320903,1.6907182125735185,1.726879030085774
698,61,0.05,pivot_average_to_lp,30.0,1.6433211283938955,0.024610461999076995,1.6341314308549881,1.652510825932803
698,61,0.15,pivot_average_to_lp,30.0,1.7496082582372927,0.041789445602404565,1.734003822797636,1.7652126936769494
698,61,0.25,pivot_average_to_lp,30.0,1.8386617252814867,0.07700885810211626,1.809906145081423,1.8674173054815506
698,61,0.4,pivot_average_to_lp,30.0,1.9611383204053312,0.12804737762882953,1.9133246438029443,2.008951997007718
414,150,0.05,pivot_average_to_lp,30.0,1.6704027731833941,0.013386212325030839,1.6654042793532806,1.6754012670135077
414,150,0.15,pivot_average_to_lp,30.0,1.7385901322804025,0.016407051663270163,1.7324636385032302,1.7447166260575748
414,150,0.25,pivot_average_to_lp,30.0,1.8012475152211764,0.022561852074992436,1.7928227811997457,1.8096722492426072
414,150,0.4,pivot_average_to_lp,30.0,1.8795527128275122,0.029833465309310775,1.8684127138002558,1.8906927118547687
686,168,0.05,pivot_average_to_lp,30.0,1.9784330121486313,0.010767176524918739,1.9744124823586688,1.9824535419385938
686,168,0.15,pivot_average_to_lp,30.0,1.95479637326544,0.015365311289028091,1.9490588717369184,1.9605338747939618
686,168,0.25,pivot_average_to_lp,30.0,1.924759366654773,0.015481246484110128,1.9189785742129417,1.9305401590966045
686,168,0.4,pivot_average_to_lp,30.0,1.8712467512827162,0.01351799534461086,1.8661990488643712,1.8762944537010613
